All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MP_helen_r10_bins_1  MP_helen_r10_bins_2  MP_helen_r10_bins_3  MP_r10_bins_1  MP_r10_bins_2  MP_r10_bins_3  r1_medaka_r10_bins_1  r1_medaka_r10_bins_2  r1_medaka_r10_bins_3  r2_medaka_r10_bins_1  r2_medaka_r10_bins_2  r2_medaka_r10_bins_3  racon_r1_r10_bins_1  racon_r1_r10_bins_2  racon_r1_r10_bins_3  racon_r2_r10_bins_1  racon_r2_r10_bins_2  racon_r2_r10_bins_3  raw_r10_bins_1  raw_r10_bins_2  raw_r10_bins_3
# misassembled contigs       1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
Misassembled contigs length  2845363              2845435              2845364              2845421        2845426        2845426        2845430               2845432               2845434               2845429               2845433               2845432               2845290              2845293              2845290              2845315              2845310              2845306              2843359         2843856         2843855       
# local misassemblies        16                   16                   16                   16             16             16             16                    16                    16                    16                    16                    16                    16                   16                   16                   16                   16                   16                   21              20              20            
# scaffold gap ext. mis.     0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# scaffold gap loc. mis.     0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# unaligned mis. contigs     6                    6                    6                    6              6              6              6                     6                     6                     6                     6                     6                     6                    6                    6                    6                    6                    6                    6               6               6             
# unaligned contigs          0 + 6 part           0 + 6 part           0 + 6 part           0 + 6 part     0 + 6 part     0 + 6 part     0 + 6 part            0 + 6 part            0 + 6 part            0 + 6 part            0 + 6 part            0 + 6 part            0 + 6 part           0 + 6 part           0 + 6 part           0 + 6 part           0 + 6 part           0 + 6 part           0 + 7 part      0 + 7 part      0 + 7 part    
Unaligned length             21091102             21095401             21091844             21098041       21098126       21097410       21094241              21096364              21095648              21086969              21089492              21090040              21086435             21093151             21087019             21079298             21083038             21078060             21150146        21154353        21154098      
Genome fraction (%)          99.954               99.954               99.954               99.954         99.954         99.954         99.954                99.954                99.954                99.954                99.954                99.954                99.954               99.954               99.954               99.954               99.954               99.954               99.931          99.948          99.948        
Duplication ratio            1.057                1.056                1.057                1.056          1.057          1.057          1.057                 1.057                 1.056                 1.057                 1.057                 1.056                 1.055                1.054                1.055                1.056                1.056                1.055                1.033           1.032           1.031         
# N's per 100 kbp            0.00                 0.00                 0.00                 0.00           0.00           0.00           0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00            0.00            0.00          
# mismatches per 100 kbp     252.48               248.83               252.98               248.51         250.42         250.53         251.27                252.62                247.44                250.46                253.05                243.43                234.46               228.32               229.88               243.89               249.96               239.88               151.47          146.90          139.59        
# indels per 100 kbp         15.54                13.48                15.75                15.68          15.26          15.22          14.09                 14.55                 14.41                 13.80                 14.76                 14.19                 21.47                20.65                19.76                21.29                22.53                21.43                126.20          126.50          124.65        
Largest alignment            2560015              2396309              2594004              2560117        2396302        2594073        2560122               2396304               2594079               2560122               2396305               2594077               2559995              2396190              2593956              2560034              2396199              2593969              2555567         2392341         2590054       
Total aligned length         2972919              2972886              2973045              2971676        2973360        2972438        2972922               2974055               2971764               2972550               2974216               2970391               2967868              2967051              2966941              2970360              2973149              2969069              2908359         2907468         2904641       
NGA50                        2560015              2396309              2594004              2560117        2396302        2594073        2560122               2396304               2594079               2560122               2396305               2594077               2559995              2396190              2593956              2560034              2396199              2593969              2555567         2392341         2590054       
NGA75                        2560015              2396309              2594004              2560117        2396302        2594073        2560122               2396304               2594079               2560122               2396305               2594077               2559995              2396190              2593956              2560034              2396199              2593969              2555567         2392341         2590054       
LGA50                        1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
LGA75                        1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
