Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	6	6	6	6	6	6	5	6	6	6	6	6	6	5	6	6	6	6	6	6	4
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part
Unaligned length	21274945	21272394	21273393	21264885	21262974	21256165	21321354	21274720	21273304	21273244	21261562	21263785	21255162	21320856	21275235	21270684	21273194	21265762	21262104	21257623	21320346
Genome fraction (%)	99.537	99.537	99.537	99.537	99.537	99.537	99.535	99.537	99.537	99.537	99.537	99.537	99.537	99.538	99.537	99.537	99.537	99.537	99.537	99.537	99.542
Duplication ratio	1.046	1.045	1.046	1.046	1.045	1.046	1.023	1.046	1.045	1.046	1.046	1.045	1.046	1.024	1.046	1.045	1.046	1.046	1.045	1.046	1.024
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	287.74	257.29	286.80	289.57	290.69	298.09	251.80	286.65	252.21	292.71	292.33	287.03	304.32	247.09	288.26	257.25	287.29	288.67	289.31	291.81	255.33
# indels per 100 kbp	112.04	42.40	75.43	77.78	114.28	115.81	165.05	110.58	42.93	74.75	75.84	110.28	113.27	158.70	112.30	42.55	76.25	77.07	113.94	114.02	166.05
Largest alignment	948765	948104	948808	948817	949190	949066	948394	948668	948052	948657	948645	949192	949045	948372	948892	948228	948809	948796	949173	949147	948394
Total aligned length	2797636	2795887	2796896	2797478	2796102	2797591	2737632	2797615	2794963	2797543	2797833	2794544	2798741	2738478	2797861	2796148	2797081	2797380	2796070	2796835	2739322
NGA50	480550	480253	480493	480514	480637	480649	480377	480526	480259	480492	480509	480707	480718	480392	480550	480258	480504	480492	480649	480632	480377
NGA75	381443	381233	381432	381430	381568	381577	381322	381461	381225	381425	381442	381538	381590	381299	381471	381234	381435	381447	381577	381623	381350
LGA50	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LGA75	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
