Assembly	MP_helen_r10_bins_1	MP_helen_r10_bins_2	MP_helen_r10_bins_3	MP_r10_bins_1	MP_r10_bins_2	MP_r10_bins_3	r1_medaka_r10_bins_1	r1_medaka_r10_bins_2	r1_medaka_r10_bins_3	r2_medaka_r10_bins_1	r2_medaka_r10_bins_2	r2_medaka_r10_bins_3	racon_r1_r10_bins_1	racon_r1_r10_bins_2	racon_r1_r10_bins_3	racon_r2_r10_bins_1	racon_r2_r10_bins_2	racon_r2_r10_bins_3	raw_r10_bins_1	raw_r10_bins_2	raw_r10_bins_3
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part
Unaligned length	21271543	21274547	21271970	21275539	21275911	21275190	21273039	21275906	21273107	21266527	21269791	21266383	21261081	21266891	21262972	21254935	21263159	21252871	21318428	21323082	21322100
Genome fraction (%)	99.546	99.540	99.544	99.546	99.540	99.544	99.546	99.540	99.544	99.546	99.540	99.544	99.546	99.540	99.544	99.546	99.540	99.544	99.538	99.534	99.542
Duplication ratio	1.045	1.045	1.045	1.046	1.046	1.046	1.046	1.046	1.046	1.045	1.045	1.046	1.045	1.045	1.045	1.046	1.045	1.046	1.024	1.023	1.023
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	255.96	253.36	254.84	286.37	286.83	287.60	289.02	284.52	289.29	283.83	282.61	288.91	294.66	286.87	285.62	299.25	290.01	298.14	252.58	242.20	254.03
# indels per 100 kbp	42.92	34.89	35.41	111.47	111.92	112.52	75.38	76.47	78.07	75.91	76.17	78.41	110.95	110.13	111.06	109.53	108.90	112.03	161.69	157.17	160.90
Largest alignment	948383	948350	948302	948920	949001	948950	948840	948851	948875	948861	948885	948890	949098	949109	949025	949271	949038	949165	1350629	1350531	1350546
Total aligned length	2795977	2796688	2796803	2797630	2798522	2798536	2797577	2797460	2798182	2796455	2796863	2797925	2796671	2796253	2794884	2798178	2795992	2798188	2739890	2738387	2737183
NGA50	480278	480325	480289	480583	480643	480605	480506	480559	480534	480505	480551	480528	480641	480656	480659	480627	480670	480662	1350629	1350531	1350546
NGA75	311294	381296	381319	311493	381520	381538	311448	381469	381500	311454	381491	381496	311553	381575	402493	311575	402532	381605	311348	381359	381424
LGA50	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
LGA75	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3
