Assembly	r10_1bin_v3_1_MP	r10_1bin_v3_1_MP_helen	r10_1bin_v3_1_r1_medaka	r10_1bin_v3_1_r2_medaka	r10_1bin_v3_1_racon_r1	r10_1bin_v3_1_racon_r2	r10_1bin_v3_1_raw	r10_1bin_v3_2_MP	r10_1bin_v3_2_MP_helen	r10_1bin_v3_2_r1_medaka	r10_1bin_v3_2_r2_medaka	r10_1bin_v3_2_racon_r1	r10_1bin_v3_2_racon_r2	r10_1bin_v3_2_raw	r10_1bin_v3_3_MP	r10_1bin_v3_3_MP_helen	r10_1bin_v3_3_r1_medaka	r10_1bin_v3_3_r2_medaka	r10_1bin_v3_3_racon_r1	r10_1bin_v3_3_racon_r2	r10_1bin_v3_3_raw
# unaligned contigs	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part
Unaligned length	24046975	24042790	24043929	24035604	24033094	24028472	24076786	24047237	24043942	24048404	24039283	24033441	24028774	24077732	24051441	24043921	24052067	24044933	24037196	24032079	24080254
Genome fraction (%)	99.894	99.894	99.894	99.894	99.895	99.894	99.867	99.894	99.894	99.894	99.894	99.894	99.894	99.864	99.894	99.894	99.894	99.894	99.894	99.894	99.864
Duplication ratio	1.015	1.015	1.015	1.015	1.015	1.015	1.008	1.015	1.015	1.015	1.015	1.015	1.015	1.008	1.015	1.015	1.015	1.015	1.015	1.015	1.008
# N's per 100 kbp	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32
# mismatches per 100 kbp	59.40	56.44	57.09	57.06	59.31	58.91	65.65	58.80	56.09	56.88	56.69	58.92	58.52	64.58	58.33	56.17	56.50	56.35	58.13	58.58	65.29
# indels per 100 kbp	5.71	3.41	3.68	3.60	14.97	14.31	97.14	5.49	5.13	6.56	6.38	15.49	14.21	96.85	5.48	5.13	6.28	6.46	15.16	14.25	96.80
Largest alignment	1547073	2052317	2052329	2052330	2052131	2052150	1826402	1546954	2052186	2052258	2052252	2052053	2052076	1664908	1643841	1643830	1643876	1643878	1643635	1643680	2098268
Total aligned length	6816775	6816194	6816873	6816781	6816059	6815905	6766612	6815813	6815171	6815412	6815237	6815078	6814984	6768491	6815239	6815207	6815096	6814898	6814766	6814863	6768827
NGA50	1274873	1371005	1371014	1371015	1370872	1370886	940304	1209489	1209480	1209520	1209516	1209345	1209366	940651	1274471	1274461	1274503	1274502	1274310	1274344	1471391
NGA75	1070200	1070195	1070190	1070189	1070104	1070107	569562	1070337	1070324	1070369	1070366	1070242	1070249	569184	1070337	1070325	1070363	1070364	1070253	1070241	610115
LGA50	3	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2
LGA75	4	4	4	4	4	4	5	4	4	4	4	4	4	5	4	4	4	4	4	4	4
