Assembly	r10_2bins_v2_1_MP	r10_2bins_v2_1_MP_helen	r10_2bins_v2_1_r1_medaka	r10_2bins_v2_1_r2_medaka	r10_2bins_v2_1_racon_r1	r10_2bins_v2_1_racon_r2	r10_2bins_v2_1_raw	r10_2bins_v2_2_MP	r10_2bins_v2_2_MP_helen	r10_2bins_v2_2_r1_medaka	r10_2bins_v2_2_r2_medaka	r10_2bins_v2_2_racon_r1	r10_2bins_v2_2_racon_r2	r10_2bins_v2_2_raw	r10_2bins_v2_3_MP	r10_2bins_v2_3_MP_helen	r10_2bins_v2_3_r1_medaka	r10_2bins_v2_3_r2_medaka	r10_2bins_v2_3_racon_r1	r10_2bins_v2_3_racon_r2	r10_2bins_v2_3_raw
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part
Unaligned length	22081266	22079416	22086205	22083941	22080080	22080478	22111871	22082693	22079663	22085429	22083823	22080008	22079713	22110797	22082042	22079350	22085042	22083751	22079579	22079036	22105490
Genome fraction (%)	99.943	99.838	99.922	99.911	99.891	99.873	99.873	99.943	99.908	99.922	99.941	99.908	99.925	99.870	99.936	99.943	99.921	99.900	99.912	99.886	99.861
Duplication ratio	1.105	1.104	1.101	1.096	1.098	1.095	1.081	1.104	1.104	1.101	1.097	1.098	1.095	1.082	1.104	1.104	1.101	1.093	1.098	1.094	1.084
# N's per 100 kbp	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	271.19	267.48	289.71	279.76	270.50	268.50	350.14	265.59	264.63	299.85	278.07	270.95	268.47	355.03	268.32	266.53	297.53	282.56	269.72	267.30	373.53
# indels per 100 kbp	12.30	10.99	12.47	15.80	56.51	52.14	350.03	11.25	10.92	16.13	10.75	57.11	53.49	350.09	12.08	10.53	14.41	12.53	56.72	50.96	353.12
Largest alignment	177208	177204	176661	177197	176514	176983	177004	177204	177204	176640	177199	173008	176997	176990	177206	177203	173113	177065	173010	176509	177003
Total aligned length	1986965	1983936	1979879	1971420	1976289	1967634	1943467	1985725	1984813	1980711	1973476	1975604	1970393	1944816	1988610	1985488	1980924	1965624	1976653	1966878	1951570
NGA50	89791	69719	89867	81637	81579	81518	69730	89790	89071	89867	81643	89792	81579	69730	89794	89747	89894	81406	89779	81371	69730
NGA75	35033	35032	34836	35032	34817	34957	34945	35032	35032	34852	34836	34817	34815	34946	35503	35032	34852	35032	34817	34938	34946
LGA50	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
LGA75	17	18	17	17	17	17	18	17	17	17	17	17	17	18	16	17	17	17	17	17	18
