All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_8bins_1_MP  r10_8bins_1_MP_helen  r10_8bins_1_r1_medaka  r10_8bins_1_r2_medaka  r10_8bins_1_racon_r1  r10_8bins_1_racon_r2  r10_8bins_1_raw  r10_8bins_2_MP  r10_8bins_2_MP_helen  r10_8bins_2_r1_medaka  r10_8bins_2_r2_medaka  r10_8bins_2_racon_r1  r10_8bins_2_racon_r2  r10_8bins_2_raw  r10_8bins_3_MP  r10_8bins_3_MP_helen  r10_8bins_3_r1_medaka  r10_8bins_3_r2_medaka  r10_8bins_3_racon_r1  r10_8bins_3_racon_r2  r10_8bins_3_raw
# misassembled contigs       1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length  2845436         2845374               2845428                2845430                2845286               2845307               2843860          2845427         2845364               2845435                2845433                2845287               2845362               2843855          2845427         2845365               2845437                2845434                2845286               2845324               2843844        
# local misassemblies        16              16                    16                     16                     16                    16                    19               16              16                    16                     16                     16                    16                    20               16              16                    16                     16                     16                    16                    20             
# scaffold gap ext. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# unaligned mis. contigs     6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      5                     6                     6                6               6                     6                      6                      6                     6                     6              
# unaligned contigs          0 + 6 part      0 + 6 part            0 + 6 part             0 + 6 part             0 + 6 part            0 + 6 part            0 + 7 part       0 + 6 part      0 + 6 part            0 + 6 part             0 + 6 part             0 + 6 part            0 + 6 part            0 + 7 part       0 + 6 part      0 + 6 part            0 + 6 part             0 + 6 part             0 + 6 part            0 + 6 part            0 + 7 part     
Unaligned length             21097894        21092211              21094007               21085751               21086456              21077999              21153624         21098121        21090238              21095079               21084838               21086483              21080326              21149376         21097603        21091560              21093542               21087873               21087452              21081144              21153872       
Genome fraction (%)          99.954          99.954                99.954                 99.954                 99.954                99.954                99.953           99.954          99.954                99.954                 99.954                 99.954                99.954                99.949           99.954          99.954                99.954                 99.954                 99.954                99.954                99.948         
Duplication ratio            1.056           1.057                 1.057                  1.057                  1.055                 1.056                 1.032            1.056           1.057                 1.056                  1.056                  1.055                 1.055                 1.033            1.056           1.057                 1.057                  1.056                  1.055                 1.055                 1.032          
# N's per 100 kbp            0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00           
# mismatches per 100 kbp     247.87          252.98                250.92                 252.69                 239.18                244.43                147.96           246.66          253.97                246.87                 248.54                 240.42                240.31                152.79           248.61          250.88                251.06                 247.02                 231.90                240.03                145.41         
# indels per 100 kbp         15.82           15.54                 14.41                  14.16                  22.46                 21.71                 127.87           15.61           15.72                 14.05                  14.12                  22.89                 22.07                 125.32           15.58           15.86                 14.44                  13.87                  21.11                 21.18                 126.71         
Largest alignment            2390867         2390844               2390856                2390859                2390744               2390769               2387857          2594074         2594004               2594080                2594078                2593963               2594017               2589973          2594074         2594005               2594081                2594079                2593963               2593988               2589893        
Total aligned length         2971422         2973039               2972719                2973174                2969302               2970609               2906233          2971134         2973718               2971468                2972030                2969179               2969121               2909414          2971745         2972537               2973114                2971396                2967280               2969289               2905394        
NGA50                        2390867         2390844               2390856                2390859                2390744               2390769               2387857          2594074         2594004               2594080                2594078                2593963               2594017               2589973          2594074         2594005               2594081                2594079                2593963               2593988               2589893        
NGA75                        2390867         2390844               2390856                2390859                2390744               2390769               2387857          2594074         2594004               2594080                2594078                2593963               2594017               2589973          2594074         2594005               2594081                2594079                2593963               2593988               2589893        
LGA50                        1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
LGA75                        1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
