Assembly	r10_2bins_1_MP	r10_2bins_1_MP_helen	r10_2bins_1_r1_medaka	r10_2bins_1_r2_medaka	r10_2bins_1_racon_r1	r10_2bins_1_racon_r2	r10_2bins_1_raw	r10_2bins_2_MP	r10_2bins_2_MP_helen	r10_2bins_2_r1_medaka	r10_2bins_2_r2_medaka	r10_2bins_2_racon_r1	r10_2bins_2_racon_r2	r10_2bins_2_raw	r10_2bins_3_MP	r10_2bins_3_MP_helen	r10_2bins_3_r1_medaka	r10_2bins_3_r2_medaka	r10_2bins_3_racon_r1	r10_2bins_3_racon_r2	r10_2bins_3_raw
Unaligned length	19977236	19974311	19976337	19965355	19963337	19955619	20001036	19977273	19974993	19975687	19965651	19964065	19958342	20002728	19977172	19974359	19975646	19966290	19962787	19956918	15246376
Genome fraction (%)	99.999	99.999	99.999	99.999	99.999	99.999	99.994	99.999	99.999	99.999	99.999	99.999	99.999	99.993	99.999	99.999	99.999	99.999	99.999	99.999	99.993
Duplication ratio	1.028	1.028	1.028	1.028	1.028	1.028	1.019	1.028	1.028	1.028	1.028	1.028	1.028	1.019	1.028	1.028	1.028	1.028	1.028	1.028	1.018
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	98.53	96.09	95.87	96.49	98.38	100.88	87.59	97.70	95.72	97.22	96.32	98.30	97.67	85.91	97.70	95.72	97.12	96.77	99.66	98.10	85.71
# indels per 100 kbp	11.24	11.24	10.26	10.51	21.68	20.12	104.50	10.94	11.04	10.44	10.66	22.81	19.75	104.70	10.94	11.01	10.66	10.39	22.40	20.32	104.63
Largest alignment	788681	788688	788690	788689	788618	788636	788158	788689	788691	788690	788690	788631	788626	788122	788689	788691	788691	788691	788603	788629	788119
Total aligned length	4097672	4096081	4095918	4096350	4096483	4098132	4060046	4097152	4095853	4096685	4096035	4096993	4096514	4058267	4097152	4095858	4096683	4096437	4097385	4096836	4058206
NGA50	329482	329468	329466	329465	329431	329441	329372	329480	329467	329466	329466	329435	329449	329353	329480	329467	329466	329466	329439	329443	329354
NGA75	257049	257052	257051	257051	257029	257030	256893	257049	257050	257051	257051	257024	257028	256904	257049	257052	257051	257051	257024	257031	256906
LGA50	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
LGA75	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
