S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
214350	552243	1	337894	bs_ill_bs_contig2	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	18355	1085560	1067209	bs_ill_bs_contig20	contig_18	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1085774	1086925	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1086927	1087837	bs_ill_bs_contig991	contig_18	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1088560	1087839	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1089913	1088932	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1089914	1090289	bs_ill_bs_contig3	contig_18	99.54		True
translocation
56	453	1090774	1090377	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1090775	1091926	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1091928	1092838	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1093561	1092840	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1094914	1093933	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1094915	1095290	bs_ill_bs_contig3	contig_18	99.54		True
local misassembly
521	601	1095552	1095632	bs_ill_bs_contig3	contig_18	100.0		True
translocation
56	449	1096387	1095994	bs_ill_bs_contig13	contig_18	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1096388	1097539	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1097541	1098451	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1099174	1098453	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1100527	1099546	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	375	1100528	1100847	bs_ill_bs_contig3	contig_18	99.77		True
translocation
1	60136	1160984	1100848	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1152	1160985	1162080	bs_ill_bs_contig839	contig_18	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1162082	1162992	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1163715	1162994	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1165068	1164087	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1165069	1165354	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	536	1166336	1165801	bs_ill_bs_contig1326	contig_18	100.0		True
translocation
56	453	1166851	1166453	bs_ill_bs_contig13	contig_18	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1166852	1168003	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1168005	1168915	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1169638	1168917	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1170991	1170010	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1170992	1171277	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	55215	1226587	1171373	bs_ill_bs_contig15	contig_18	100.0		True
translocation
328	395	1226655	1226588	bs_ill_bs_contig13	contig_18	100.0		True
local misassembly
56	274	1227008	1226790	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1227009	1228160	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1228162	1229072	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1229795	1229074	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1231325	1230344	bs_ill_bs_contig933	contig_18	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	342	1231326	1231612	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	15524	1247223	1231700	bs_ill_bs_contig21	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1247621	1248772	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1248774	1249684	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1250407	1249686	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1251937	1250956	bs_ill_bs_contig933	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	59870	1312060	1252191	bs_ill_bs_contig14	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	709047	1312291	2021217	bs_ill_bs_contig1	contig_18	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2021219	2021817	bs_ill_bs_contig2	contig_18	99.41		True
translocation
1	263211	2285027	2021818	bs_ill_bs_contig7	contig_18	100.0		True
translocation
1	620	2285647	2285028	bs_ill_bs_contig2	contig_18	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	2286206	2285649	bs_ill_bs_contig1	contig_18	99.84		True
translocation
1	38370	2324576	2286207	bs_ill_bs_contig16	contig_18	100.0		True
translocation
56	341	2324862	2324577	bs_ill_bs_contig3	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	982	2324863	2325844	bs_ill_bs_contig933	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	2326216	2326937	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	2327849	2326939	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	2329002	2327851	bs_ill_bs_contig839	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	274	2329003	2329221	bs_ill_bs_contig13	contig_18	100.0		True
local misassembly
328	453	2329356	2329481	bs_ill_bs_contig13	contig_18	100.0		True
translocation
1	536	2329626	2330134	bs_ill_bs_contig1326	contig_18	90.26		True
fake: not a misassembly [fragmentation of reference genome]
1	37065	2368490	2331426	bs_ill_bs_contig17	contig_18	100.0		True
translocation
708489	709047	2368491	2369049	bs_ill_bs_contig1	contig_18	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2369051	2369649	bs_ill_bs_contig2	contig_18	99.26		True
translocation
1	315068	2369650	2684720	bs_ill_bs_contig4	contig_18	100.0		True
translocation
708490	709047	2684721	2685278	bs_ill_bs_contig1	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2685280	2685879	bs_ill_bs_contig2	contig_18	99.11		True
translocation
1	294381	2980260	2685880	bs_ill_bs_contig5	contig_18	100.0		True
translocation
1	618	2980878	2980261	bs_ill_bs_contig2	contig_18	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	2981438	2980880	bs_ill_bs_contig1	contig_18	99.84		True
translocation
114	252570	3234012	2981439	bs_ill_bs_contig9	contig_18	99.94		True
local misassembly
34	329	3234308	3234013	bs_ill_bs_contig9	contig_18	99.03		True
local misassembly [fragmentation of reference genome]
1	609	3234416	3235024	bs_ill_bs_contig1250	contig_18	100.0		True
translocation
155978	156135	3235182	3235025	bs_ill_bs_contig10	contig_18	98.37		True
local misassembly
155994	156223	3235544	3235315	bs_ill_bs_contig10	contig_18	96.52		True
local misassembly
156140	156290	3235731	3235581	bs_ill_bs_contig10	contig_18	94.7		True
local misassembly
156684	156751	3235934	3235867	bs_ill_bs_contig10	contig_18	98.53		True
local misassembly
156140	156408	3236235	3235967	bs_ill_bs_contig10	contig_18	96.28		True
translocation
59	507	3236472	3236911	bs_ill_bs_contig1250	contig_18	97.77		True
translocation
156423	156786	3237275	3236912	bs_ill_bs_contig10	contig_18	92.08		True
local misassembly
156234	156335	3237617	3237516	bs_ill_bs_contig10	contig_18	93.14		True
indel: indel (> 5bp)
155978	156197	3237837	3237618	bs_ill_bs_contig10	contig_18	99.55		True
local misassembly
156077	156223	3238116	3237970	bs_ill_bs_contig10	contig_18	97.96		True
local misassembly
156590	156939	3238530	3238181	bs_ill_bs_contig10	contig_18	100.0		True
local misassembly
1	156862	3395632	3238771	bs_ill_bs_contig10	contig_18	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	2262	3396011	3398272	bs_ill_bs_contig411	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	269408	3668230	3398827	bs_ill_bs_contig6	contig_18	100.0		True
translocation
1	599	3668829	3668231	bs_ill_bs_contig2	contig_18	98.06		True
fake: not a misassembly [fragmentation of reference genome]
708516	709047	3669362	3668831	bs_ill_bs_contig1	contig_18	98.81		True
translocation
1	137190	3669363	3806550	bs_ill_bs_contig11	contig_18	100.0		True
translocation
1	574	3807124	3806551	bs_ill_bs_contig2	contig_18	97.62		True
fake: not a misassembly [fragmentation of reference genome]
708549	709047	3807624	3807126	bs_ill_bs_contig1	contig_18	98.69		True
translocation
1	23242	3830865	3807625	bs_ill_bs_contig19	contig_18	100.0		True
translocation
708485	709047	3830866	3831428	bs_ill_bs_contig1	contig_18	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	214348	3831430	4045615	bs_ill_bs_contig2	contig_18	99.92		True
CONTIG	contig_18	4045615	misassembled
18672	18790	268388	268270	bs_ill_bs_contig13	contig_31	90.76		True
unknown
1	277	286258	285982	bs_ill_bs_contig13	contig_31	91.07		True
unknown
1	1065	286204	287268	bs_ill_bs_contig839	contig_31	95.6		True
unknown
108	910	287463	288271	bs_ill_bs_contig991	contig_31	91.87		True
unknown
83	720	288912	288276	bs_ill_bs_contig1146	contig_31	90.39		True
unknown
1	966	290422	289459	bs_ill_bs_contig933	contig_31	94.21		True
unknown
1	133	290368	290500	bs_ill_bs_contig3	contig_31	91.73		True
unknown
159	246	290526	290613	bs_ill_bs_contig3	contig_31	90.91		True
unknown
266	333	290635	290702	bs_ill_bs_contig3	contig_31	95.59		True
unknown
1	277	292277	292001	bs_ill_bs_contig13	contig_31	91.07		True
unknown
1	1065	292223	293287	bs_ill_bs_contig839	contig_31	95.6		True
unknown
108	910	293482	294290	bs_ill_bs_contig991	contig_31	91.87		True
unknown
83	720	294931	294295	bs_ill_bs_contig1146	contig_31	90.39		True
unknown
1	966	296441	295478	bs_ill_bs_contig933	contig_31	94.21		True
unknown
1	133	296387	296519	bs_ill_bs_contig3	contig_31	91.73		True
unknown
159	246	296545	296632	bs_ill_bs_contig3	contig_31	90.91		True
unknown
266	333	296654	296721	bs_ill_bs_contig3	contig_31	95.59		True
unknown
1	277	529827	529551	bs_ill_bs_contig13	contig_31	91.07		True
unknown
1	1065	529773	530837	bs_ill_bs_contig839	contig_31	95.6		True
unknown
108	910	531032	531840	bs_ill_bs_contig991	contig_31	91.87		True
unknown
83	720	532481	531845	bs_ill_bs_contig1146	contig_31	90.39		True
unknown
1	966	534242	533279	bs_ill_bs_contig933	contig_31	94.21		True
unknown
1	4776	679062	674363	bs_ill_bs_contig89	contig_31	97.51		True
unknown
1	966	1078029	1078992	bs_ill_bs_contig933	contig_31	94.21		True
unknown
83	720	1079790	1080426	bs_ill_bs_contig1146	contig_31	90.39		True
unknown
108	910	1081239	1080431	bs_ill_bs_contig991	contig_31	91.87		True
unknown
1	1065	1082498	1081434	bs_ill_bs_contig839	contig_31	95.6		True
unknown
1	277	1082444	1082720	bs_ill_bs_contig13	contig_31	91.07		True
unknown
266	333	1676329	1676262	bs_ill_bs_contig3	contig_31	95.59		True
unknown
159	246	1676438	1676351	bs_ill_bs_contig3	contig_31	90.91		True
unknown
1	133	1676596	1676464	bs_ill_bs_contig3	contig_31	91.73		True
unknown
1	966	1676542	1677505	bs_ill_bs_contig933	contig_31	94.21		True
unknown
83	720	1678052	1678688	bs_ill_bs_contig1146	contig_31	90.39		True
unknown
108	910	1679501	1678693	bs_ill_bs_contig991	contig_31	91.87		True
unknown
1	1065	1680760	1679696	bs_ill_bs_contig839	contig_31	95.6		True
unknown
1	277	1680706	1680982	bs_ill_bs_contig13	contig_31	91.07		True
unknown
266	333	1781006	1780939	bs_ill_bs_contig3	contig_31	95.59		True
unknown
159	246	1781115	1781028	bs_ill_bs_contig3	contig_31	90.91		True
unknown
1	133	1781273	1781141	bs_ill_bs_contig3	contig_31	91.73		True
unknown
1	966	1781219	1782182	bs_ill_bs_contig933	contig_31	94.21		True
unknown
83	720	1782729	1783365	bs_ill_bs_contig1146	contig_31	90.39		True
unknown
108	910	1784178	1783370	bs_ill_bs_contig991	contig_31	91.87		True
unknown
1	1065	1785437	1784373	bs_ill_bs_contig839	contig_31	95.6		True
unknown
1	277	1785383	1785659	bs_ill_bs_contig13	contig_31	91.07		True
unknown
CONTIG	contig_31	2992072	mis_unaligned
8	169	405225	405064	bs_ill_bs_contig13	contig_50	95.06		True
unknown
1	1068	405178	406244	bs_ill_bs_contig839	contig_50	93.83		True
unknown
1	982	409622	408640	bs_ill_bs_contig933	contig_50	93.03		True
unknown
1	1068	541109	542175	bs_ill_bs_contig839	contig_50	93.83		True
unknown
1	982	545548	544566	bs_ill_bs_contig933	contig_50	93.03		True
unknown
1	1068	654485	655551	bs_ill_bs_contig839	contig_50	93.92		True
unknown
1	982	658879	657896	bs_ill_bs_contig933	contig_50	92.84		True
unknown
261	334	1714007	1713934	bs_ill_bs_contig3	contig_50	93.24		True
unknown
2	120	1714267	1714149	bs_ill_bs_contig3	contig_50	90.76		True
unknown
1	982	1714214	1715196	bs_ill_bs_contig933	contig_50	92.93		True
unknown
1	1068	1718624	1717558	bs_ill_bs_contig839	contig_50	93.92		True
unknown
1	982	1758808	1759790	bs_ill_bs_contig933	contig_50	92.83		True
unknown
1	1068	1763160	1762094	bs_ill_bs_contig839	contig_50	93.92		True
unknown
1	982	1764061	1765042	bs_ill_bs_contig933	contig_50	92.83		True
unknown
1	1068	1768382	1767314	bs_ill_bs_contig839	contig_50	93.74		True
unknown
8	169	1768335	1768496	bs_ill_bs_contig13	contig_50	95.06		True
unknown
CONTIG	contig_50	2718121	mis_unaligned
1	965	604592	605555	bs_ill_bs_contig933	contig_58	93.89		True
unknown
95	215	606197	606317	bs_ill_bs_contig1146	contig_58	92.56		True
unknown
483	720	606577	606814	bs_ill_bs_contig1146	contig_58	93.28		True
unknown
666	889	607063	606840	bs_ill_bs_contig991	contig_58	91.52		True
unknown
337	569	607393	607161	bs_ill_bs_contig991	contig_58	93.56		True
unknown
108	329	607625	607404	bs_ill_bs_contig991	contig_58	91.44		True
unknown
1	1065	608873	607822	bs_ill_bs_contig839	contig_58	92.31		True
unknown
9	171	608827	608989	bs_ill_bs_contig13	contig_58	93.25		True
unknown
9	171	2112836	2112674	bs_ill_bs_contig13	contig_58	93.25		True
unknown
1	1065	2112790	2113841	bs_ill_bs_contig839	contig_58	92.31		True
unknown
108	329	2114038	2114259	bs_ill_bs_contig991	contig_58	91.44		True
unknown
337	569	2114270	2114502	bs_ill_bs_contig991	contig_58	93.56		True
unknown
666	889	2114600	2114823	bs_ill_bs_contig991	contig_58	91.07		True
unknown
483	720	2115086	2114849	bs_ill_bs_contig1146	contig_58	93.28		True
unknown
95	215	2115466	2115346	bs_ill_bs_contig1146	contig_58	93.39		True
unknown
1	965	2116969	2116006	bs_ill_bs_contig933	contig_58	93.89		True
unknown
33226	33297	2171620	2171549	bs_ill_bs_contig13	contig_58	95.83		True
unknown
32338	32486	2172508	2172360	bs_ill_bs_contig13	contig_58	91.95		True
unknown
1	965	2387650	2388613	bs_ill_bs_contig933	contig_58	93.89		True
unknown
95	215	2389153	2389273	bs_ill_bs_contig1146	contig_58	93.39		True
unknown
483	720	2389533	2389770	bs_ill_bs_contig1146	contig_58	93.28		True
unknown
666	889	2390019	2389796	bs_ill_bs_contig991	contig_58	91.52		True
unknown
337	569	2390349	2390117	bs_ill_bs_contig991	contig_58	93.56		True
unknown
108	329	2390581	2390360	bs_ill_bs_contig991	contig_58	91.44		True
unknown
1	1065	2391829	2390778	bs_ill_bs_contig839	contig_58	92.31		True
unknown
1	965	2830737	2831700	bs_ill_bs_contig933	contig_58	93.89		True
unknown
95	215	2832342	2832462	bs_ill_bs_contig1146	contig_58	93.39		True
unknown
483	720	2832722	2832959	bs_ill_bs_contig1146	contig_58	93.28		True
unknown
666	889	2833208	2832985	bs_ill_bs_contig991	contig_58	91.07		True
unknown
337	569	2833538	2833306	bs_ill_bs_contig991	contig_58	93.56		True
unknown
108	329	2833770	2833549	bs_ill_bs_contig991	contig_58	91.44		True
unknown
1	1065	2835018	2833967	bs_ill_bs_contig839	contig_58	92.31		True
unknown
9	171	2834972	2835134	bs_ill_bs_contig13	contig_58	93.25		True
unknown
CONTIG	contig_58	2845374	mis_unaligned
707	789	2652842	2652760	bs_ill_bs_contig839	contig_1	97.59		True
unknown
61	290	2653488	2653259	bs_ill_bs_contig839	contig_1	90.43		True
unknown
707	789	2694243	2694161	bs_ill_bs_contig839	contig_1	97.59		True
unknown
61	290	2694889	2694660	bs_ill_bs_contig839	contig_1	90.43		True
unknown
CONTIG	contig_1	4765339	mis_unaligned
707	789	4539371	4539289	bs_ill_bs_contig839	contig_2	97.59		True
unknown
61	290	4540017	4539788	bs_ill_bs_contig839	contig_2	90.43		True
unknown
707	789	4582127	4582045	bs_ill_bs_contig839	contig_2	97.59		True
unknown
61	290	4582773	4582544	bs_ill_bs_contig839	contig_2	90.43		True
unknown
CONTIG	contig_2	4758026	mis_unaligned
1	1065	65150	66203	bs_ill_bs_contig839	contig_40	92.36		True
unknown
492	714	67441	67219	bs_ill_bs_contig1146	contig_40	92.38		True
unknown
95	211	67836	67720	bs_ill_bs_contig1146	contig_40	94.02		True
unknown
766	967	68741	68540	bs_ill_bs_contig933	contig_40	95.05		True
unknown
26	176	69480	69330	bs_ill_bs_contig933	contig_40	91.39		True
unknown
1	1065	142242	143295	bs_ill_bs_contig839	contig_40	92.45		True
unknown
766	967	145624	145423	bs_ill_bs_contig933	contig_40	95.05		True
unknown
26	176	146363	146213	bs_ill_bs_contig933	contig_40	91.39		True
unknown
1	1065	177752	178805	bs_ill_bs_contig839	contig_40	92.36		True
unknown
492	714	180043	179821	bs_ill_bs_contig1146	contig_40	92.83		True
unknown
95	211	180438	180322	bs_ill_bs_contig1146	contig_40	93.16		True
unknown
766	967	181148	180947	bs_ill_bs_contig933	contig_40	95.05		True
unknown
26	176	181887	181737	bs_ill_bs_contig933	contig_40	91.39		True
unknown
95	211	843161	843277	bs_ill_bs_contig1146	contig_40	93.16		True
unknown
492	714	843556	843778	bs_ill_bs_contig1146	contig_40	92.83		True
unknown
1	1065	845847	844794	bs_ill_bs_contig839	contig_40	92.45		True
unknown
299	371	1655253	1655181	bs_ill_bs_contig1326	contig_40	97.26		True
unknown
1	1065	1655923	1656976	bs_ill_bs_contig839	contig_40	92.45		True
unknown
492	714	1658214	1657992	bs_ill_bs_contig1146	contig_40	92.83		True
unknown
95	211	1658609	1658493	bs_ill_bs_contig1146	contig_40	94.02		True
unknown
766	967	1659329	1659128	bs_ill_bs_contig933	contig_40	95.05		True
unknown
26	176	1660068	1659918	bs_ill_bs_contig933	contig_40	91.39		True
unknown
CONTIG	contig_40	1946182	mis_unaligned
