Assembly	r10_8bins_1_MP	r10_8bins_1_MP_helen	r10_8bins_1_r1_medaka	r10_8bins_1_r2_medaka	r10_8bins_1_racon_r1	r10_8bins_1_racon_r2	r10_8bins_1_raw	r10_8bins_2_MP	r10_8bins_2_MP_helen	r10_8bins_2_r1_medaka	r10_8bins_2_r2_medaka	r10_8bins_2_racon_r1	r10_8bins_2_racon_r2	r10_8bins_2_raw	r10_8bins_3_MP	r10_8bins_3_MP_helen	r10_8bins_3_r1_medaka	r10_8bins_3_r2_medaka	r10_8bins_3_racon_r1	r10_8bins_3_racon_r2	r10_8bins_3_raw
Unaligned length	24047149	24043641	24044751	24036610	24033406	24026051	24077409	24047444	24042659	24044582	24035233	24034373	24028213	24077072	24048207	24043465	24045328	24037932	24033377	24028998	24075679
Genome fraction (%)	99.894	99.894	99.894	99.894	99.894	99.894	99.875	99.893	99.893	99.893	99.893	99.893	99.893	99.878	99.895	99.894	99.894	99.894	99.894	99.894	99.863
Duplication ratio	1.015	1.015	1.015	1.015	1.015	1.015	1.008	1.015	1.015	1.015	1.015	1.015	1.015	1.008	1.015	1.015	1.015	1.015	1.015	1.015	1.008
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	59.19	56.23	56.51	56.93	59.50	59.65	65.44	58.64	55.86	56.18	55.77	58.12	57.82	64.79	58.10	55.35	55.74	55.69	58.03	58.16	66.83
# indels per 100 kbp	5.70	3.78	3.63	3.69	13.24	12.29	97.40	5.43	5.04	3.63	3.63	13.35	12.38	97.15	5.67	5.16	3.72	3.63	13.87	12.35	96.83
Largest alignment	1643775	2052277	2052324	2052323	2052185	2052199	2098661	1643841	2052184	2052214	2052213	2052082	2052082	2098630	1643844	2052193	2052213	2052213	2052077	2052084	2098273
Total aligned length	6816496	6816006	6816351	6816696	6816143	6816397	6770274	6815681	6815111	6815834	6815508	6814580	6814590	6769510	6815454	6814624	6815367	6815374	6814813	6814965	6771026
NGA50	1188532	1643772	1643775	1643778	1643618	1643621	1471541	1274460	1643839	1643847	1643850	1643676	1643706	1471418	1070341	1643834	1643848	1643850	1643680	1643716	1471392
NGA75	1070191	1070208	1070187	1070189	1070107	1070110	569700	1070337	1070325	1070330	1070330	1070256	1070258	610213	687824	734836	734836	734836	734762	734775	610118
LGA50	3	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2
LGA75	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4
