Assembly	r10_1bin_v3_1_MP	r10_1bin_v3_1_MP_helen	r10_1bin_v3_1_r1_medaka	r10_1bin_v3_1_r2_medaka	r10_1bin_v3_1_racon_r1	r10_1bin_v3_1_racon_r2	r10_1bin_v3_1_raw	r10_1bin_v3_2_MP	r10_1bin_v3_2_MP_helen	r10_1bin_v3_2_r1_medaka	r10_1bin_v3_2_r2_medaka	r10_1bin_v3_2_racon_r1	r10_1bin_v3_2_racon_r2	r10_1bin_v3_2_raw	r10_1bin_v3_3_MP	r10_1bin_v3_3_MP_helen	r10_1bin_v3_3_r1_medaka	r10_1bin_v3_3_r2_medaka	r10_1bin_v3_3_racon_r1	r10_1bin_v3_3_racon_r2	r10_1bin_v3_3_raw
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part
Unaligned length	19039678	19035435	19036101	19028114	19024190	19018053	23181250	19039066	19035399	19036973	19030194	19027567	19018512	23182729	19043407	19036231	19042055	19035604	19029052	19018318	23185362
Genome fraction (%)	97.703	97.703	97.703	97.703	97.703	97.703	97.666	97.703	97.703	97.701	97.701	97.703	97.703	97.665	97.703	97.703	97.701	97.701	97.703	97.703	97.661
Duplication ratio	1.077	1.077	1.077	1.077	1.077	1.077	1.059	1.077	1.077	1.077	1.077	1.076	1.077	1.058	1.077	1.077	1.077	1.077	1.077	1.078	1.058
# N's per 100 kbp	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36
# mismatches per 100 kbp	441.48	437.35	440.58	439.96	447.02	451.49	487.28	443.42	439.68	446.90	442.49	438.96	450.01	484.40	442.36	438.25	443.61	442.45	444.60	457.37	484.75
# indels per 100 kbp	20.55	16.83	15.78	15.22	40.31	36.86	238.99	20.63	18.39	21.34	20.89	39.37	36.65	236.66	20.38	17.98	21.70	20.93	39.84	36.31	236.81
Largest alignment	1768032	1768048	1768011	1768011	1767745	1767723	1002768	1408812	1408784	1408914	1408900	1408602	1408650	1102546	1408812	1408786	1408918	1408903	1408605	1408648	1104939
Total aligned length	5028729	5028236	5029394	5028946	5030398	5031659	4943158	5030085	5029902	5035163	5032700	5027870	5032071	4942258	5029421	5029125	5033503	5032630	5029867	5035518	4944911
NGA50	948520	948523	948516	948520	948365	948388	682750	1103278	1103268	1105710	1105701	1103077	1103086	586349	1103278	1103270	1105710	1105703	1103073	1103095	586162
NGA75	399559	399559	399558	399556	399488	399505	412597	393562	393563	393578	393583	393542	393550	376915	393562	393564	393581	393580	393541	393546	376967
LGA50	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	3
LGA75	4	4	4	4	4	4	5	5	5	5	5	5	5	6	5	5	5	5	5	5	6
