Assembly	r10_2bins_1_MP	r10_2bins_1_MP_helen	r10_2bins_1_r1_medaka	r10_2bins_1_r2_medaka	r10_2bins_1_racon_r1	r10_2bins_1_racon_r2	r10_2bins_1_raw	r10_2bins_2_MP	r10_2bins_2_MP_helen	r10_2bins_2_r1_medaka	r10_2bins_2_r2_medaka	r10_2bins_2_racon_r1	r10_2bins_2_racon_r2	r10_2bins_2_raw	r10_2bins_3_MP	r10_2bins_3_MP_helen	r10_2bins_3_r1_medaka	r10_2bins_3_r2_medaka	r10_2bins_3_racon_r1	r10_2bins_3_racon_r2	r10_2bins_3_raw
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part
Unaligned length	19037361	19034052	19035902	19025507	19020706	19017456	23173193	19036005	19033605	19035810	19025692	19022417	19015805	23179839	19038070	19034427	19035744	19026643	19022150	19014651	23176351
Genome fraction (%)	98.920	98.920	98.920	98.920	98.920	98.920	98.891	98.920	98.920	98.920	98.920	98.920	98.920	98.893	98.920	98.919	98.920	98.920	98.920	98.920	98.896
Duplication ratio	1.075	1.075	1.075	1.075	1.075	1.075	1.058	1.075	1.075	1.075	1.075	1.075	1.075	1.057	1.075	1.075	1.075	1.075	1.075	1.075	1.058
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	415.04	411.12	409.50	410.26	421.62	416.22	461.96	416.39	412.08	409.84	409.69	420.85	421.81	456.67	411.71	409.27	409.77	409.67	419.12	420.93	463.79
# indels per 100 kbp	21.79	16.58	11.40	11.27	36.51	34.29	221.49	22.02	15.83	11.40	11.59	36.88	34.10	221.85	21.64	16.20	11.52	11.40	37.03	34.59	224.74
Largest alignment	1342513	1342441	1342470	1342475	1342282	1342306	1341368	1342526	1342441	1342477	1342475	1342189	1342321	1341465	1342514	1342443	1342476	1342475	1342192	1342311	1341434
Total aligned length	5035703	5034496	5034508	5031877	5037213	5034396	4955585	5036576	5035397	5034717	5034148	5036784	5037205	4949697	5034410	5034001	5034740	5034238	5036123	5037201	4952804
NGA50	745420	745358	745367	745370	745263	745290	745148	745421	745356	745372	745370	745266	745286	744976	745403	745357	745371	745370	745275	745284	744979
NGA75	611519	611505	611515	611515	611458	611445	432793	611518	611511	611517	611516	611458	611460	433975	611503	611467	611516	611516	611438	611427	433862
LGA50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LGA75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
