Assembly	r10_2bins_v2_1_MP	r10_2bins_v2_1_MP_helen	r10_2bins_v2_1_r1_medaka	r10_2bins_v2_1_r2_medaka	r10_2bins_v2_1_racon_r1	r10_2bins_v2_1_racon_r2	r10_2bins_v2_1_raw	r10_2bins_v2_2_MP	r10_2bins_v2_2_MP_helen	r10_2bins_v2_2_r1_medaka	r10_2bins_v2_2_r2_medaka	r10_2bins_v2_2_racon_r1	r10_2bins_v2_2_racon_r2	r10_2bins_v2_2_raw	r10_2bins_v2_3_MP	r10_2bins_v2_3_MP_helen	r10_2bins_v2_3_r1_medaka	r10_2bins_v2_3_r2_medaka	r10_2bins_v2_3_racon_r1	r10_2bins_v2_3_racon_r2	r10_2bins_v2_3_raw
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# unaligned contigs	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 7 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 7 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 7 part
Unaligned length	21097256	21091462	21094714	21082965	21085873	21078978	21151415	21097385	21092176	21093248	21085421	21088031	21081053	21152339	21098800	21092419	21094582	21077711	21087317	21078063	21149389
Genome fraction (%)	99.954	99.954	99.954	99.954	99.954	99.954	99.947	99.954	99.954	99.954	99.954	99.954	99.954	99.949	99.954	99.954	99.954	99.954	99.954	99.954	99.949
Duplication ratio	1.056	1.057	1.056	1.057	1.055	1.056	1.032	1.056	1.057	1.057	1.057	1.055	1.055	1.032	1.056	1.057	1.056	1.057	1.055	1.055	1.033
# N's per 100 kbp	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	248.40	251.38	248.08	251.81	238.93	239.53	157.16	249.22	252.80	252.98	249.64	230.31	239.92	148.85	244.71	252.69	248.72	250.71	235.02	236.12	152.79
# indels per 100 kbp	15.58	15.79	14.19	13.94	23.24	20.51	131.00	15.90	15.75	14.30	13.91	21.18	20.69	126.53	15.65	15.61	14.26	14.26	21.68	19.87	125.40
Largest alignment	2390858	2390838	2390856	2390854	2390730	2390799	2387703	2390858	2390838	2390855	2390857	2390757	2390764	2387805	2390858	2390841	2390858	2390853	2390758	2390769	2387793
Total aligned length	2971632	2972566	2971862	2972976	2968521	2969045	2907951	2971690	2972981	2973379	2972430	2966851	2969409	2907370	2970170	2973027	2971931	2972445	2967563	2968423	2909361
NGA50	2390858	2390838	2390856	2390854	2390730	2390799	2387703	2390858	2390838	2390855	2390857	2390757	2390764	2387805	2390858	2390841	2390858	2390853	2390758	2390769	2387793
NGA75	2390858	2390838	2390856	2390854	2390730	2390799	2387703	2390858	2390838	2390855	2390857	2390757	2390764	2387805	2390858	2390841	2390858	2390853	2390758	2390769	2387793
LGA50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LGA75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
