All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
Genome fraction (%)          99.400          99.395                99.399                 99.398                 99.398                99.397                99.370           99.400          99.400                99.398                 99.397                 99.397                99.395                99.374           99.400          99.397                99.398                 99.398                 99.397                99.396                99.372         
Duplication ratio            1.044           1.044                 1.043                  1.044                  1.043                 1.043                 1.028            1.044           1.044                 1.044                  1.043                  1.043                 1.043                 1.027            1.044           1.044                 1.044                  1.043                  1.043                 1.043                 1.027          
# N's per 100 kbp            0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00           
# mismatches per 100 kbp     175.41          168.53                175.77                 175.01                 175.33                179.74                270.00           176.66          168.47                176.96                 175.56                 177.03                178.16                271.65           176.70          168.43                176.49                 174.97                 177.61                179.37                273.80         
# indels per 100 kbp         38.49           23.74                 26.70                  26.23                  62.95                 59.78                 305.83           38.54           23.64                 26.60                  26.55                  63.98                 58.94                 308.72           38.64           23.73                 26.50                  26.26                  64.10                 58.04                 309.25         
Largest alignment            2390997         2390976               2390994                2390996                2390889               2390913               2387942          2390997         2390976               2390995                2390996                2390889               2390911               2387942          2390997         2390976               2390995                2390996                2390889               2390911               2387942        
Total aligned length         30752499        30750611              30746527               30733907               30739809              30732404              30681021         30752876        30749307              30747422               30743007               30746957              30734466              30684220         30757538        30750836              30747094               30737851               30743611              30737745              30681288       
NA50                         948963          948260                948811                 948796                 949071                949118                777689           948962          948258                948799                 948787                 949124                949124                699762           948964          948259                948799                 948791                 949124                949113                777743         
NA75                         399305          399300                399305                 399302                 399225                399227                376875           399306          399299                399302                 399301                 399230                399231                373707           399303          399301                399302                 399302                 399239                399238                381469         
LA50                         11              11                    11                     11                     11                    11                    12               11              11                    11                     11                     11                    11                    13               11              11                    11                     11                     11                    11                    12             
LA75                         24              24                    24                     24                     24                    24                    27               24              23                    23                     23                     23                    23                    28               24              23                    23                     23                     23                    23                    26             
