Assembly	r10_8bins_1_MP	r10_8bins_1_MP_helen	r10_8bins_1_r1_medaka	r10_8bins_1_r2_medaka	r10_8bins_1_racon_r1	r10_8bins_1_racon_r2	r10_8bins_1_raw	r10_8bins_2_MP	r10_8bins_2_MP_helen	r10_8bins_2_r1_medaka	r10_8bins_2_r2_medaka	r10_8bins_2_racon_r1	r10_8bins_2_racon_r2	r10_8bins_2_raw	r10_8bins_3_MP	r10_8bins_3_MP_helen	r10_8bins_3_r1_medaka	r10_8bins_3_r2_medaka	r10_8bins_3_racon_r1	r10_8bins_3_racon_r2	r10_8bins_3_raw
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part
Unaligned length	22082720	22079951	22085137	22085618	22080726	22080016	22114139	22082419	22080080	22084183	22083488	22079927	22077481	22105466	22082736	22081091	22083283	22085685	22079579	22078522	22111837
Genome fraction (%)	99.943	99.889	99.926	99.895	99.897	99.875	99.875	99.943	99.832	99.925	99.936	99.913	99.888	99.862	99.936	99.828	99.872	99.932	99.870	99.869	99.860
Duplication ratio	1.104	1.104	1.101	1.097	1.098	1.095	1.080	1.104	1.104	1.102	1.097	1.098	1.097	1.084	1.104	1.103	1.103	1.097	1.098	1.097	1.081
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	266.98	267.34	289.03	291.17	267.21	267.38	360.39	267.36	266.22	300.95	283.79	270.05	272.00	372.64	265.66	264.01	318.25	275.04	267.89	268.23	362.05
# indels per 100 kbp	11.36	15.36	14.25	14.03	57.45	53.02	345.30	11.75	10.76	16.85	12.91	52.95	51.57	351.95	11.64	14.93	18.91	10.75	56.68	53.52	349.90
Largest alignment	177205	177204	177198	176920	176816	176760	176983	177205	177205	173114	176980	173004	176835	176989	177206	177206	173025	173046	172882	172972	177003
Total aligned length	1985939	1987024	1980994	1972765	1976871	1968214	1943991	1986126	1983173	1981709	1972702	1976523	1971181	1951560	1988234	1982248	1985090	1972955	1974626	1971413	1945734
NGA50	89790	88849	89788	81510	81489	81364	69730	89789	87700	89895	85401	89780	79258	69730	89790	87652	79490	81501	79400	81451	69730
NGA75	35033	35503	35031	35032	35015	35015	34946	35033	35032	34836	34837	34825	34811	34946	35505	35032	35032	35032	34825	34811	34946
LGA50	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
LGA75	17	16	17	17	17	17	18	17	17	17	17	17	18	18	16	17	18	17	18	18	18
