Assembly	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part
Unaligned length	21275028	21272586	21273911	21276931	21275570	21276465	21275929	21273481	21276200	21269804	21260462	21271842	21266901	21264136	21268392	21261735	21255747	21264703	21322323	21319249	21319439
Genome fraction (%)	99.546	99.546	99.546	99.546	99.546	99.546	99.546	99.546	99.546	99.546	99.546	99.546	99.546	99.546	99.546	99.546	99.546	99.546	99.538	99.538	99.538
Duplication ratio	1.045	1.045	1.045	1.046	1.046	1.046	1.046	1.045	1.045	1.045	1.046	1.046	1.045	1.045	1.045	1.046	1.045	1.045	1.024	1.024	1.024
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	251.63	256.82	256.89	282.41	287.67	287.71	284.46	283.34	283.34	283.68	288.27	289.88	289.62	284.35	284.12	297.72	288.94	290.36	246.68	249.29	250.26
# indels per 100 kbp	41.09	42.10	41.54	111.32	111.66	112.33	77.48	77.06	76.65	76.13	77.62	77.74	109.26	109.41	109.38	108.63	108.74	108.03	158.44	159.89	159.89
Largest alignment	948267	948395	948269	948955	948956	948953	948823	948881	948867	948835	948843	948868	949077	949302	949102	949216	949124	949250	1350628	1350628	1350628
Total aligned length	2795142	2796156	2796198	2797046	2797859	2798057	2796935	2796696	2796710	2796585	2797486	2797937	2795042	2794696	2794946	2797548	2795686	2795846	2738321	2740011	2740146
NGA50	480285	480282	480291	480587	480580	480578	480485	480484	480483	480490	480473	480489	480605	480595	480596	480622	480618	480629	1350628	1350628	1350628
NGA75	381246	381243	381245	381503	381502	381503	381420	381419	381413	381435	381437	381431	381516	381512	381510	381539	381544	381556	381299	381299	381298
LGA50	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
LGA75	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3
