S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102683	ec_ill_ec_contig2	contig_97	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210278	1212006	ec_ill_ec_contig75	contig_97	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212455	1212940	ec_ill_ec_contig104	contig_97	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220911	1213008	ec_ill_ec_contig60	contig_97	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222033	1220912	ec_ill_ec_contig80	contig_97	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1222034	1315371	ec_ill_ec_contig20	contig_97	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315372	1317295	ec_ill_ec_contig73	contig_97	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1317857	1317296	ec_ill_ec_contig91	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1317858	1318483	ec_ill_ec_contig94	contig_97	98.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318484	1390329	ec_ill_ec_contig25	contig_97	99.96		True
local misassembly [fragmentation of reference genome]
1	5324	1395761	1390437	ec_ill_ec_contig64	contig_97	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396044	1412114	ec_ill_ec_contig53	contig_97	99.99		True
translocation
26703	27345	1412115	1412757	ec_ill_ec_contig46	contig_97	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412758	1413210	ec_ill_ec_contig101	contig_97	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415793	1413211	ec_ill_ec_contig70	contig_97	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1416076	1418500	ec_ill_ec_contig72	contig_97	100.0		True
translocation
4875	5324	1418501	1418950	ec_ill_ec_contig64	contig_97	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419663	1419053	ec_ill_ec_contig25	contig_97	97.25		True
translocation
1	22687	1442346	1419664	ec_ill_ec_contig48	contig_97	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1442347	1442906	ec_ill_ec_contig92	contig_97	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	1442907	1444263	ec_ill_ec_contig77	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1444777	1444264	ec_ill_ec_contig97	contig_97	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111087	1555864	1444778	ec_ill_ec_contig12	contig_97	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1556049	1557512	ec_ill_ec_contig65	contig_97	99.86		True
local misassembly
1876	4847	1557833	1560804	ec_ill_ec_contig65	contig_97	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	88468	1649268	1560805	ec_ill_ec_contig23	contig_97	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1649672	1651134	ec_ill_ec_contig65	contig_97	99.93		True
local misassembly
1876	4902	1651547	1654577	ec_ill_ec_contig65	contig_97	99.64		True
fake: not a misassembly [fragmentation of reference genome]
1	53688	1654797	1708483	ec_ill_ec_contig33	contig_97	99.99		True
local misassembly [fragmentation of reference genome]
1	71920	1708484	1780402	ec_ill_ec_contig24	contig_97	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1780801	1782264	ec_ill_ec_contig65	contig_97	99.86		True
local misassembly
1876	4902	1782585	1785611	ec_ill_ec_contig65	contig_97	99.7		True
fake: not a misassembly [fragmentation of reference genome]
1	4268	1790098	1785831	ec_ill_ec_contig66	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1790099	1791018	ec_ill_ec_contig83	contig_97	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30843	1821861	1791019	ec_ill_ec_contig43	contig_97	100.0		True
translocation
56	399	1822203	1821862	ec_ill_ec_contig6	contig_97	98.24		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1463	1822204	1823667	ec_ill_ec_contig65	contig_97	99.93		True
local misassembly
1876	4902	1823988	1827014	ec_ill_ec_contig65	contig_97	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	3011	1827016	1830026	ec_ill_ec_contig8	contig_97	99.95		True
indel: stretch of mismatches
3012	83127	1830027	1910043	ec_ill_ec_contig8	contig_97	99.87		True
local misassembly
82979	138617	1910234	1965870	ec_ill_ec_contig8	contig_97	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	1966423	1965938	ec_ill_ec_contig104	contig_97	91.77		True
local misassembly [fragmentation of reference genome]
1	30252	1966519	1996774	ec_ill_ec_contig44	contig_97	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	107753	2104712	1996966	ec_ill_ec_contig14	contig_97	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	2104713	2105823	ec_ill_ec_contig81	contig_97	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	9696	2105824	2115518	ec_ill_ec_contig59	contig_97	99.99		True
indel: indel (<= 5bp) [fragmentation of reference genome]
56	502	2116040	2115591	ec_ill_ec_contig104	contig_97	99.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3545	2116041	2119584	ec_ill_ec_contig67	contig_97	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	744	2120273	2119585	ec_ill_ec_contig89	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89591	2209864	2120274	ec_ill_ec_contig21	contig_97	99.99		True
fake: not a misassembly [fragmentation of reference genome]
42469	50645	2218256	2210080	ec_ill_ec_contig35	contig_97	99.89		True
local misassembly
1	42569	2260822	2218257	ec_ill_ec_contig35	contig_97	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2262055	2260823	ec_ill_ec_contig79	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3185	2265240	2262056	ec_ill_ec_contig68	contig_97	100.0		True
local misassembly [fragmentation of reference genome]
22	507	2265336	2265821	ec_ill_ec_contig104	contig_97	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	21779	2287665	2265889	ec_ill_ec_contig49	contig_97	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	2288219	2287734	ec_ill_ec_contig104	contig_97	91.77		True
local misassembly [fragmentation of reference genome]
1	181861	2470093	2288315	ec_ill_ec_contig6	contig_97	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1463	2470094	2471501	ec_ill_ec_contig65	contig_97	99.52		True
local misassembly
1876	4847	2471914	2474887	ec_ill_ec_contig65	contig_97	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	17355	2492241	2474888	ec_ill_ec_contig52	contig_97	99.91		True
local misassembly [fragmentation of reference genome]
6	105426	2492860	2598279	ec_ill_ec_contig5	contig_97	99.81		True
local misassembly
105527	184250	2598280	2677002	ec_ill_ec_contig5	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2678234	2677003	ec_ill_ec_contig79	contig_97	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	67050	2678235	2745282	ec_ill_ec_contig29	contig_97	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	59988	2746164	2806149	ec_ill_ec_contig32	contig_97	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2806150	2807383	ec_ill_ec_contig79	contig_97	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
33156	119686	2894019	2807384	ec_ill_ec_contig10	contig_97	99.86		True
local misassembly
1	32653	2926670	2894020	ec_ill_ec_contig10	contig_97	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	2926671	2928594	ec_ill_ec_contig73	contig_97	98.18		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	2929156	2928595	ec_ill_ec_contig91	contig_97	95.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	2929157	2929801	ec_ill_ec_contig94	contig_97	99.22		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	2930055	2931082	ec_ill_ec_contig84	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	645	2931083	2931672	ec_ill_ec_contig94	contig_97	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
21	331	2931673	2931983	ec_ill_ec_contig25	contig_97	97.72		True
translocation
1	1672	2931984	2933650	ec_ill_ec_contig76	contig_97	99.64		True
translocation
182	998	2933651	2934466	ec_ill_ec_contig36	contig_97	94.92		True
relocation, inconsistency = -1267
1	43039	2934736	2977771	ec_ill_ec_contig36	contig_97	99.97		True
local misassembly
42883	42981	2977920	2978018	ec_ill_ec_contig36	contig_97	98.99		True
local misassembly [fragmentation of reference genome]
1	101963	2978648	3080607	ec_ill_ec_contig17	contig_97	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3081161	3080676	ec_ill_ec_contig104	contig_97	91.77		True
local misassembly [fragmentation of reference genome]
1	4424	3081257	3085680	ec_ill_ec_contig28	contig_97	100.0		True
translocation
1	5981	3085681	3091659	ec_ill_ec_contig63	contig_97	99.97		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3092212	3091727	ec_ill_ec_contig104	contig_97	91.77		True
local misassembly [fragmentation of reference genome]
1	70123	3092308	3162430	ec_ill_ec_contig28	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	3162431	3163663	ec_ill_ec_contig79	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89333	3252991	3163664	ec_ill_ec_contig22	contig_97	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	3252992	3254101	ec_ill_ec_contig81	contig_97	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	64433	3318533	3254102	ec_ill_ec_contig30	contig_97	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3319088	3318603	ec_ill_ec_contig104	contig_97	91.77		True
local misassembly [fragmentation of reference genome]
1	10296	3329479	3319184	ec_ill_ec_contig58	contig_97	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	576	3329480	3329987	ec_ill_ec_contig95	contig_97	95.43		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1347	3329988	3331334	ec_ill_ec_contig78	contig_97	100.0		True
translocation
26439	26892	3331335	3331788	ec_ill_ec_contig47	contig_97	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71159	71855	3332589	3331891	ec_ill_ec_contig25	contig_97	96.28		True
translocation
1	2582	3332785	3335364	ec_ill_ec_contig71	contig_97	99.88		True
translocation
124	1802	3335730	3337408	ec_ill_ec_contig61	contig_97	93.16		True
translocation
1	31854	3337409	3369248	ec_ill_ec_contig40	contig_97	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	670	3369249	3369863	ec_ill_ec_contig92	contig_97	99.4		True
fake: not a misassembly [fragmentation of reference genome]
1	507	3370107	3370613	ec_ill_ec_contig104	contig_97	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	7319	3377999	3370681	ec_ill_ec_contig62	contig_97	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	3378515	3378000	ec_ill_ec_contig97	contig_97	96.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	31737	3378516	3410248	ec_ill_ec_contig41	contig_97	99.98		True
local misassembly [fragmentation of reference genome]
22	300	3410344	3410622	ec_ill_ec_contig104	contig_97	91.77		True
local misassembly [fragmentation of reference genome]
1	111329	3410623	3521952	ec_ill_ec_contig11	contig_97	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	110908	3522232	3633137	ec_ill_ec_contig13	contig_97	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	573	3633138	3633655	ec_ill_ec_contig96	contig_97	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	967	3634622	3633656	ec_ill_ec_contig85	contig_97	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	592	3635159	3634623	ec_ill_ec_contig93	contig_97	98.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	3635160	3635998	ec_ill_ec_contig88	contig_97	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	3637082	3635999	ec_ill_ec_contig82	contig_97	98.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	937	3637083	3637964	ec_ill_ec_contig86	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	3637965	3638489	ec_ill_ec_contig100	contig_97	99.48		True
fake: not a misassembly [fragmentation of reference genome]
1	19021	3657955	3638937	ec_ill_ec_contig50	contig_97	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	125137	3783207	3658075	ec_ill_ec_contig9	contig_97	99.97		True
local misassembly [fragmentation of reference genome]
1	71131	3854493	3783332	ec_ill_ec_contig26	contig_97	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	3119	3855375	3858493	ec_ill_ec_contig69	contig_97	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	38051	3859107	3897157	ec_ill_ec_contig38	contig_97	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	3898279	3897158	ec_ill_ec_contig80	contig_97	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	70438	3968715	3898280	ec_ill_ec_contig27	contig_97	100.0		True
translocation
124743	125137	3968716	3969110	ec_ill_ec_contig9	contig_97	96.9		True
fake: not a misassembly [fragmentation of reference genome]
70844	71136	3969522	3969230	ec_ill_ec_contig26	contig_97	99.32		True
translocation
1	595	3970322	3969728	ec_ill_ec_contig99	contig_97	100.0		True
translocation
9004	9482	3970801	3970323	ec_ill_ec_contig55	contig_97	96.15		True
translocation
1	292	3971093	3970802	ec_ill_ec_contig13	contig_97	97.96		True
local misassembly [fragmentation of reference genome]
22	507	3971956	3972441	ec_ill_ec_contig104	contig_97	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	13785	3986293	3972509	ec_ill_ec_contig56	contig_97	100.0		True
translocation
18517	19021	3986294	3986798	ec_ill_ec_contig50	contig_97	94.43		True
fake: not a misassembly [fragmentation of reference genome]
56	580	3987770	3987246	ec_ill_ec_contig100	contig_97	99.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	920	3988635	3987771	ec_ill_ec_contig87	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	3988636	3989718	ec_ill_ec_contig82	contig_97	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	3990557	3989719	ec_ill_ec_contig88	contig_97	95.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	3990558	3991149	ec_ill_ec_contig93	contig_97	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	550	3991150	3991644	ec_ill_ec_contig102	contig_97	100.0		True
translocation
551	912	3991645	3992006	ec_ill_ec_contig85	contig_97	94.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	3992580	3992007	ec_ill_ec_contig96	contig_97	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	57666	3992581	4050244	ec_ill_ec_contig3	contig_97	99.96		True
local misassembly
57763	229060	4050245	4221547	ec_ill_ec_contig3	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	4221548	4222778	ec_ill_ec_contig79	contig_97	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98775	4222779	4321552	ec_ill_ec_contig18	contig_97	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	4322105	4321620	ec_ill_ec_contig104	contig_97	91.77		True
local misassembly [fragmentation of reference genome]
1	12868	4322201	4335068	ec_ill_ec_contig57	contig_97	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	31688	4366756	4335069	ec_ill_ec_contig42	contig_97	100.0		True
local misassembly [fragmentation of reference genome]
22	507	4366852	4367337	ec_ill_ec_contig104	contig_97	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	18741	4386143	4367405	ec_ill_ec_contig51	contig_97	99.98		True
translocation
1	395	4386538	4386144	ec_ill_ec_contig9	contig_97	97.18		True
fake: not a misassembly [fragmentation of reference genome]
1	384	4386658	4387041	ec_ill_ec_contig50	contig_97	98.97		True
translocation
1	14377	4401419	4387042	ec_ill_ec_contig55	contig_97	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	4401420	4402393	ec_ill_ec_contig82	contig_97	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1970	4402394	4404363	ec_ill_ec_contig74	contig_97	100.0		True
translocation
569	912	4404364	4404707	ec_ill_ec_contig85	contig_97	93.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	4405281	4404708	ec_ill_ec_contig96	contig_97	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	4405282	4432626	ec_ill_ec_contig46	contig_97	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	4432627	4433081	ec_ill_ec_contig101	contig_97	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	4440774	4433082	ec_ill_ec_contig61	contig_97	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	576	4441350	4440775	ec_ill_ec_contig95	contig_97	99.05		True
fake: not a misassembly [fragmentation of reference genome]
56	2582	4444090	4441566	ec_ill_ec_contig71	contig_97	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	97294	4444091	4541380	ec_ill_ec_contig19	contig_97	99.99		True
local misassembly [fragmentation of reference genome]
22	507	4541476	4541961	ec_ill_ec_contig104	contig_97	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	15362	4542029	4557413	ec_ill_ec_contig54	contig_97	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	4557904	4557414	ec_ill_ec_contig98	contig_97	98.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	207387	4557905	4765291	ec_ill_ec_contig2	contig_97	99.98		True
CONTIG	contig_97	4765291	misassembled
61742	62411	3592	4261	ec_ill_ec_contig18	contig_96	90.46		True
unknown
86744	86895	29114	29265	ec_ill_ec_contig18	contig_96	90.13		True
unknown
12548	12902	52538	52887	ec_ill_ec_contig57	contig_96	95.77		True
unknown
1447	1674	98662	98884	ec_ill_ec_contig46	contig_96	91.67		True
unknown
2541	2622	99751	99832	ec_ill_ec_contig46	contig_96	100.0		True
unknown
2522	2618	100702	100798	ec_ill_ec_contig46	contig_96	100.0		True
unknown
8170	9572	161890	163292	ec_ill_ec_contig19	contig_96	90.16		True
unknown
12488	12610	165498	165620	ec_ill_ec_contig19	contig_96	97.56		True
unknown
15784	15923	168900	169039	ec_ill_ec_contig19	contig_96	91.43		True
unknown
40775	41026	193976	194227	ec_ill_ec_contig19	contig_96	90.87		True
unknown
58890	58964	212020	212094	ec_ill_ec_contig19	contig_96	90.67		True
unknown
61030	61150	213972	214092	ec_ill_ec_contig19	contig_96	91.74		True
unknown
27576	28083	266999	267506	ec_ill_ec_contig45	contig_96	90.16		True
unknown
74525	74661	330880	331016	ec_ill_ec_contig2	contig_96	94.89		True
unknown
87016	87392	343610	343986	ec_ill_ec_contig2	contig_96	91.51		True
unknown
88970	89054	346189	346273	ec_ill_ec_contig2	contig_96	94.12		True
unknown
90776	90885	347993	348102	ec_ill_ec_contig2	contig_96	96.36		True
unknown
115894	115994	373804	373904	ec_ill_ec_contig2	contig_96	90.1		True
unknown
116001	116173	373911	374083	ec_ill_ec_contig2	contig_96	90.75		True
unknown
116175	116319	374084	374228	ec_ill_ec_contig2	contig_96	92.41		True
unknown
116478	116578	374387	374487	ec_ill_ec_contig2	contig_96	98.02		True
unknown
196299	196405	434804	434910	ec_ill_ec_contig2	contig_96	91.59		True
unknown
196584	196673	435239	435328	ec_ill_ec_contig2	contig_96	92.22		True
unknown
198947	199040	437790	437883	ec_ill_ec_contig2	contig_96	93.62		True
unknown
199046	199280	437889	438123	ec_ill_ec_contig2	contig_96	91.49		True
unknown
199282	200896	438124	439738	ec_ill_ec_contig2	contig_96	90.96		True
unknown
202553	203560	441395	442402	ec_ill_ec_contig2	contig_96	90.87		True
unknown
206545	206771	445365	445591	ec_ill_ec_contig2	contig_96	90.75		True
unknown
207297	208650	446110	447463	ec_ill_ec_contig2	contig_96	91.58		True
unknown
216758	217642	455628	456512	ec_ill_ec_contig2	contig_96	91.19		True
unknown
217647	218068	456517	456938	ec_ill_ec_contig2	contig_96	90.76		True
unknown
219863	220255	458732	459124	ec_ill_ec_contig2	contig_96	92.88		True
unknown
260093	260274	505523	505704	ec_ill_ec_contig2	contig_96	93.41		True
unknown
260304	260384	505742	505822	ec_ill_ec_contig2	contig_96	95.06		True
unknown
264542	264717	509977	510152	ec_ill_ec_contig2	contig_96	90.91		True
unknown
264719	265011	510153	510445	ec_ill_ec_contig2	contig_96	90.44		True
unknown
309999	310091	538028	538120	ec_ill_ec_contig2	contig_96	95.7		True
unknown
310109	310261	538141	538293	ec_ill_ec_contig2	contig_96	94.12		True
unknown
312315	312687	540352	540724	ec_ill_ec_contig2	contig_96	91.15		True
unknown
198093	198176	541126	541043	ec_ill_ec_contig4	contig_96	100.0		True
unknown
197996	198092	541340	541244	ec_ill_ec_contig4	contig_96	98.97		True
unknown
187963	188417	551303	550849	ec_ill_ec_contig4	contig_96	91.5		True
unknown
182975	186967	556424	552428	ec_ill_ec_contig4	contig_96	90.47		True
unknown
125195	125765	613470	612900	ec_ill_ec_contig4	contig_96	90.72		True
unknown
107352	107645	621347	621054	ec_ill_ec_contig4	contig_96	91.5		True
unknown
93553	95187	638654	637020	ec_ill_ec_contig4	contig_96	91.68		True
unknown
91893	91963	640315	640245	ec_ill_ec_contig4	contig_96	90.14		True
unknown
83293	83551	672566	672308	ec_ill_ec_contig4	contig_96	90.35		True
unknown
81806	81888	674072	673990	ec_ill_ec_contig4	contig_96	96.39		True
unknown
81710	81786	674170	674094	ec_ill_ec_contig4	contig_96	90.91		True
unknown
66243	66575	695190	694858	ec_ill_ec_contig4	contig_96	92.49		True
unknown
64538	64603	696906	696841	ec_ill_ec_contig4	contig_96	96.97		True
unknown
63895	63959	697623	697559	ec_ill_ec_contig4	contig_96	96.92		True
unknown
40691	41457	709052	708286	ec_ill_ec_contig4	contig_96	90.61		True
unknown
40593	40672	709148	709069	ec_ill_ec_contig4	contig_96	90.0		True
unknown
40014	40099	709726	709641	ec_ill_ec_contig4	contig_96	91.86		True
unknown
38778	38998	718125	717905	ec_ill_ec_contig4	contig_96	91.86		True
unknown
34867	35084	721954	721737	ec_ill_ec_contig4	contig_96	91.82		True
unknown
30669	30832	726097	725934	ec_ill_ec_contig4	contig_96	91.46		True
unknown
30583	30667	726182	726098	ec_ill_ec_contig4	contig_96	91.76		True
unknown
17552	17673	787604	787483	ec_ill_ec_contig4	contig_96	90.16		True
unknown
17311	17548	787845	787608	ec_ill_ec_contig4	contig_96	92.02		True
unknown
16072	16815	789083	788340	ec_ill_ec_contig4	contig_96	92.47		True
unknown
12698	13574	792472	791598	ec_ill_ec_contig4	contig_96	90.08		True
unknown
9772	10174	795231	794829	ec_ill_ec_contig4	contig_96	90.07		True
unknown
9652	9743	795354	795263	ec_ill_ec_contig4	contig_96	92.39		True
unknown
3406	3586	801683	801503	ec_ill_ec_contig4	contig_96	93.92		True
unknown
228	524	805710	805414	ec_ill_ec_contig16	contig_96	95.29		True
unknown
1876	4902	808710	805694	ec_ill_ec_contig65	contig_96	96.97		True
unknown
1	1463	810491	809029	ec_ill_ec_contig65	contig_96	97.27		True
unknown
1	351	810437	810783	ec_ill_ec_contig6	contig_96	96.3		True
unknown
5624	5704	816487	816567	ec_ill_ec_contig39	contig_96	91.36		True
unknown
5705	6050	816569	816914	ec_ill_ec_contig39	contig_96	91.33		True
unknown
6054	6151	816915	817012	ec_ill_ec_contig39	contig_96	92.86		True
unknown
6183	6300	817044	817161	ec_ill_ec_contig39	contig_96	90.68		True
unknown
12751	13132	823791	824172	ec_ill_ec_contig39	contig_96	97.64		True
unknown
13134	13897	824173	824936	ec_ill_ec_contig39	contig_96	92.54		True
unknown
13898	14864	824951	825917	ec_ill_ec_contig39	contig_96	92.14		True
unknown
15004	15150	826067	826213	ec_ill_ec_contig39	contig_96	91.16		True
unknown
18536	18631	829597	829692	ec_ill_ec_contig39	contig_96	91.67		True
unknown
19292	19493	831057	831258	ec_ill_ec_contig39	contig_96	92.57		True
unknown
22061	22287	833827	834052	ec_ill_ec_contig39	contig_96	94.71		True
unknown
24143	24530	852793	853181	ec_ill_ec_contig39	contig_96	96.68		True
unknown
27168	27363	883868	884063	ec_ill_ec_contig15	contig_96	90.82		True
unknown
28106	28170	884805	884869	ec_ill_ec_contig15	contig_96	93.85		True
unknown
35561	35647	892529	892615	ec_ill_ec_contig15	contig_96	98.85		True
unknown
41998	42421	900971	901394	ec_ill_ec_contig15	contig_96	90.8		True
unknown
45155	45384	914811	915040	ec_ill_ec_contig15	contig_96	96.09		True
unknown
