S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102683	ec_ill_ec_contig2	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059389	1058469	ec_ill_ec_contig83	contig_92	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059390	1206886	ec_ill_ec_contig7	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206887	1208810	ec_ill_ec_contig73	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209372	1208811	ec_ill_ec_contig91	contig_92	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209373	1210017	ec_ill_ec_contig94	contig_92	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210271	1211999	ec_ill_ec_contig75	contig_92	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212448	1212933	ec_ill_ec_contig104	contig_92	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220904	1213001	ec_ill_ec_contig60	contig_92	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222026	1220905	ec_ill_ec_contig80	contig_92	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1222027	1315424	ec_ill_ec_contig20	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315425	1317348	ec_ill_ec_contig73	contig_92	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1317910	1317349	ec_ill_ec_contig91	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1317911	1318536	ec_ill_ec_contig94	contig_92	98.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318537	1390379	ec_ill_ec_contig25	contig_92	99.96		True
local misassembly [fragmentation of reference genome]
1	5324	1395811	1390487	ec_ill_ec_contig64	contig_92	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396094	1412163	ec_ill_ec_contig53	contig_92	100.0		True
translocation
26703	27345	1412164	1412806	ec_ill_ec_contig46	contig_92	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412807	1413259	ec_ill_ec_contig101	contig_92	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415842	1413260	ec_ill_ec_contig70	contig_92	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1416125	1418549	ec_ill_ec_contig72	contig_92	100.0		True
translocation
4875	5324	1418550	1418999	ec_ill_ec_contig64	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419712	1419102	ec_ill_ec_contig25	contig_92	97.25		True
translocation
1	22687	1442395	1419713	ec_ill_ec_contig48	contig_92	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1442396	1442955	ec_ill_ec_contig92	contig_92	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	1442956	1444312	ec_ill_ec_contig77	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1444826	1444313	ec_ill_ec_contig97	contig_92	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111087	1555912	1444827	ec_ill_ec_contig12	contig_92	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1556097	1557560	ec_ill_ec_contig65	contig_92	99.86		True
local misassembly
1876	4847	1557881	1560852	ec_ill_ec_contig65	contig_92	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	88468	1649316	1560853	ec_ill_ec_contig23	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1649720	1651182	ec_ill_ec_contig65	contig_92	99.93		True
local misassembly
1876	4902	1651595	1654625	ec_ill_ec_contig65	contig_92	99.64		True
fake: not a misassembly [fragmentation of reference genome]
1	53688	1654845	1708531	ec_ill_ec_contig33	contig_92	99.99		True
local misassembly [fragmentation of reference genome]
1	71920	1708532	1780450	ec_ill_ec_contig24	contig_92	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1780849	1782312	ec_ill_ec_contig65	contig_92	99.86		True
local misassembly
1876	4902	1782633	1785659	ec_ill_ec_contig65	contig_92	99.7		True
fake: not a misassembly [fragmentation of reference genome]
1	4268	1790146	1785879	ec_ill_ec_contig66	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1790147	1791066	ec_ill_ec_contig83	contig_92	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30843	1821909	1791067	ec_ill_ec_contig43	contig_92	100.0		True
translocation
56	399	1822251	1821910	ec_ill_ec_contig6	contig_92	98.24		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1463	1822252	1823714	ec_ill_ec_contig65	contig_92	100.0		True
local misassembly
1876	4902	1824035	1827061	ec_ill_ec_contig65	contig_92	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	3011	1827063	1830073	ec_ill_ec_contig8	contig_92	99.95		True
indel: stretch of mismatches
3012	83127	1830074	1910090	ec_ill_ec_contig8	contig_92	99.87		True
local misassembly
82979	138617	1910281	1965917	ec_ill_ec_contig8	contig_92	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	1966470	1965985	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	30252	1966566	1996820	ec_ill_ec_contig44	contig_92	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	107753	2104757	1997012	ec_ill_ec_contig14	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	2104758	2105868	ec_ill_ec_contig81	contig_92	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	9696	2105869	2115563	ec_ill_ec_contig59	contig_92	99.99		True
indel: indel (<= 5bp) [fragmentation of reference genome]
56	502	2116085	2115636	ec_ill_ec_contig104	contig_92	99.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3545	2116086	2119629	ec_ill_ec_contig67	contig_92	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	744	2120318	2119630	ec_ill_ec_contig89	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89591	2209908	2120319	ec_ill_ec_contig21	contig_92	99.99		True
fake: not a misassembly [fragmentation of reference genome]
42469	50645	2218300	2210124	ec_ill_ec_contig35	contig_92	99.89		True
local misassembly
1	42569	2260866	2218301	ec_ill_ec_contig35	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2262099	2260867	ec_ill_ec_contig79	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3185	2265284	2262100	ec_ill_ec_contig68	contig_92	100.0		True
local misassembly [fragmentation of reference genome]
22	507	2265380	2265865	ec_ill_ec_contig104	contig_92	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	21779	2287709	2265933	ec_ill_ec_contig49	contig_92	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	2288263	2287778	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	181861	2470135	2288359	ec_ill_ec_contig6	contig_92	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1463	2470136	2471543	ec_ill_ec_contig65	contig_92	99.52		True
local misassembly
1876	4847	2471956	2474929	ec_ill_ec_contig65	contig_92	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	17355	2492284	2474930	ec_ill_ec_contig52	contig_92	99.91		True
local misassembly [fragmentation of reference genome]
6	105426	2492903	2598321	ec_ill_ec_contig5	contig_92	99.81		True
local misassembly
105527	184250	2598322	2677044	ec_ill_ec_contig5	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2678276	2677045	ec_ill_ec_contig79	contig_92	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	67050	2678277	2745324	ec_ill_ec_contig29	contig_92	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	59988	2746206	2806192	ec_ill_ec_contig32	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2806193	2807426	ec_ill_ec_contig79	contig_92	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
33156	119686	2894061	2807427	ec_ill_ec_contig10	contig_92	99.86		True
local misassembly
1	32653	2926711	2894062	ec_ill_ec_contig10	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	2926712	2928635	ec_ill_ec_contig73	contig_92	98.18		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	2929197	2928636	ec_ill_ec_contig91	contig_92	95.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	2929198	2929842	ec_ill_ec_contig94	contig_92	99.22		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	2930096	2931123	ec_ill_ec_contig84	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	645	2931124	2931713	ec_ill_ec_contig94	contig_92	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
21	331	2931714	2932024	ec_ill_ec_contig25	contig_92	97.72		True
translocation
1	1672	2932025	2933696	ec_ill_ec_contig76	contig_92	99.94		True
translocation
182	998	2933697	2934512	ec_ill_ec_contig36	contig_92	94.92		True
relocation, inconsistency = -1267
1	43039	2934782	2977817	ec_ill_ec_contig36	contig_92	99.97		True
local misassembly
42883	42981	2977966	2978064	ec_ill_ec_contig36	contig_92	98.99		True
local misassembly [fragmentation of reference genome]
1	101963	2978694	3080653	ec_ill_ec_contig17	contig_92	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3081207	3080722	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	4424	3081303	3085726	ec_ill_ec_contig28	contig_92	100.0		True
translocation
1	5981	3085727	3091706	ec_ill_ec_contig63	contig_92	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3092259	3091774	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	70123	3092355	3162477	ec_ill_ec_contig28	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	3162478	3163710	ec_ill_ec_contig79	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89333	3253039	3163711	ec_ill_ec_contig22	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	3253040	3254149	ec_ill_ec_contig81	contig_92	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	64433	3318581	3254150	ec_ill_ec_contig30	contig_92	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3319136	3318651	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	10296	3329527	3319232	ec_ill_ec_contig58	contig_92	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	576	3329528	3330035	ec_ill_ec_contig95	contig_92	95.43		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1347	3330036	3331382	ec_ill_ec_contig78	contig_92	100.0		True
translocation
26439	26892	3331383	3331836	ec_ill_ec_contig47	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71159	71855	3332637	3331939	ec_ill_ec_contig25	contig_92	96.28		True
translocation
1	2582	3332833	3335412	ec_ill_ec_contig71	contig_92	99.88		True
translocation
124	1802	3335778	3337456	ec_ill_ec_contig61	contig_92	93.16		True
translocation
1	31854	3337457	3369296	ec_ill_ec_contig40	contig_92	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	670	3369297	3369911	ec_ill_ec_contig92	contig_92	99.4		True
fake: not a misassembly [fragmentation of reference genome]
1	507	3370155	3370661	ec_ill_ec_contig104	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	7319	3378047	3370729	ec_ill_ec_contig62	contig_92	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	3378563	3378048	ec_ill_ec_contig97	contig_92	96.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	31737	3378564	3410296	ec_ill_ec_contig41	contig_92	99.98		True
local misassembly [fragmentation of reference genome]
22	300	3410392	3410670	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	111329	3410671	3521999	ec_ill_ec_contig11	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	110908	3522279	3633184	ec_ill_ec_contig13	contig_92	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	573	3633185	3633702	ec_ill_ec_contig96	contig_92	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	967	3634669	3633703	ec_ill_ec_contig85	contig_92	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	592	3635206	3634670	ec_ill_ec_contig93	contig_92	98.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	3635207	3636045	ec_ill_ec_contig88	contig_92	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	3637129	3636046	ec_ill_ec_contig82	contig_92	98.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	937	3637130	3638011	ec_ill_ec_contig86	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	3638012	3638536	ec_ill_ec_contig100	contig_92	99.48		True
fake: not a misassembly [fragmentation of reference genome]
1	19021	3658002	3638984	ec_ill_ec_contig50	contig_92	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	125137	3783253	3658122	ec_ill_ec_contig9	contig_92	99.97		True
local misassembly [fragmentation of reference genome]
1	71131	3854539	3783378	ec_ill_ec_contig26	contig_92	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	3119	3855421	3858539	ec_ill_ec_contig69	contig_92	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	38051	3859153	3897204	ec_ill_ec_contig38	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	3898326	3897205	ec_ill_ec_contig80	contig_92	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	70438	3968762	3898327	ec_ill_ec_contig27	contig_92	100.0		True
translocation
1	395	3969157	3968763	ec_ill_ec_contig9	contig_92	96.9		True
fake: not a misassembly [fragmentation of reference genome]
70844	71136	3969569	3969277	ec_ill_ec_contig26	contig_92	99.32		True
translocation
1	595	3970369	3969775	ec_ill_ec_contig99	contig_92	100.0		True
translocation
9004	9482	3970848	3970370	ec_ill_ec_contig55	contig_92	96.15		True
translocation
1	292	3971140	3970849	ec_ill_ec_contig13	contig_92	97.96		True
local misassembly [fragmentation of reference genome]
22	507	3972003	3972488	ec_ill_ec_contig104	contig_92	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	13785	3986340	3972556	ec_ill_ec_contig56	contig_92	100.0		True
translocation
18517	19021	3986341	3986845	ec_ill_ec_contig50	contig_92	94.43		True
fake: not a misassembly [fragmentation of reference genome]
56	580	3987817	3987293	ec_ill_ec_contig100	contig_92	99.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	920	3988682	3987818	ec_ill_ec_contig87	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	3988683	3989765	ec_ill_ec_contig82	contig_92	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	3990603	3989766	ec_ill_ec_contig88	contig_92	95.09		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	3990604	3991195	ec_ill_ec_contig93	contig_92	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	550	3991196	3991690	ec_ill_ec_contig102	contig_92	100.0		True
translocation
551	912	3991691	3992052	ec_ill_ec_contig85	contig_92	94.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	3992626	3992053	ec_ill_ec_contig96	contig_92	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	57666	3992627	4050290	ec_ill_ec_contig3	contig_92	99.96		True
local misassembly
57763	229060	4050291	4221593	ec_ill_ec_contig3	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	4221594	4222824	ec_ill_ec_contig79	contig_92	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98775	4222825	4321597	ec_ill_ec_contig18	contig_92	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	4322150	4321665	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	12868	4322246	4335113	ec_ill_ec_contig57	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	31688	4366801	4335114	ec_ill_ec_contig42	contig_92	100.0		True
local misassembly [fragmentation of reference genome]
22	507	4366897	4367382	ec_ill_ec_contig104	contig_92	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	18741	4386188	4367450	ec_ill_ec_contig51	contig_92	99.98		True
translocation
1	395	4386583	4386189	ec_ill_ec_contig9	contig_92	97.18		True
fake: not a misassembly [fragmentation of reference genome]
1	384	4386703	4387086	ec_ill_ec_contig50	contig_92	98.97		True
translocation
1	14377	4401464	4387087	ec_ill_ec_contig55	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	4401465	4402438	ec_ill_ec_contig82	contig_92	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1970	4402439	4404408	ec_ill_ec_contig74	contig_92	100.0		True
translocation
569	912	4404409	4404752	ec_ill_ec_contig85	contig_92	93.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	4405326	4404753	ec_ill_ec_contig96	contig_92	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	4405327	4432671	ec_ill_ec_contig46	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	4432672	4433126	ec_ill_ec_contig101	contig_92	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	4440819	4433127	ec_ill_ec_contig61	contig_92	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	576	4441395	4440820	ec_ill_ec_contig95	contig_92	99.05		True
fake: not a misassembly [fragmentation of reference genome]
56	2582	4444135	4441611	ec_ill_ec_contig71	contig_92	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	97294	4444136	4541425	ec_ill_ec_contig19	contig_92	99.99		True
local misassembly [fragmentation of reference genome]
22	507	4541521	4542006	ec_ill_ec_contig104	contig_92	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	15362	4542074	4557459	ec_ill_ec_contig54	contig_92	99.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	4557951	4557460	ec_ill_ec_contig98	contig_92	99.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	207387	4557952	4765335	ec_ill_ec_contig2	contig_92	99.98		True
CONTIG	contig_92	4765335	misassembled
61742	62411	3592	4261	ec_ill_ec_contig18	contig_91	90.46		True
unknown
86744	86895	29114	29265	ec_ill_ec_contig18	contig_91	90.13		True
unknown
12548	12902	52538	52887	ec_ill_ec_contig57	contig_91	95.77		True
unknown
1447	1674	98662	98884	ec_ill_ec_contig46	contig_91	91.67		True
unknown
2541	2622	99751	99832	ec_ill_ec_contig46	contig_91	100.0		True
unknown
2522	2618	100702	100798	ec_ill_ec_contig46	contig_91	100.0		True
unknown
8170	9572	161890	163292	ec_ill_ec_contig19	contig_91	90.16		True
unknown
12488	12610	165498	165620	ec_ill_ec_contig19	contig_91	97.56		True
unknown
15784	15923	168900	169039	ec_ill_ec_contig19	contig_91	91.43		True
unknown
40775	41026	193976	194227	ec_ill_ec_contig19	contig_91	90.87		True
unknown
58890	58964	212020	212094	ec_ill_ec_contig19	contig_91	90.67		True
unknown
61030	61150	213972	214092	ec_ill_ec_contig19	contig_91	91.74		True
unknown
27576	28083	266999	267506	ec_ill_ec_contig45	contig_91	90.16		True
unknown
74525	74661	330880	331016	ec_ill_ec_contig2	contig_91	94.89		True
unknown
87016	87392	343610	343986	ec_ill_ec_contig2	contig_91	91.51		True
unknown
88970	89054	346190	346274	ec_ill_ec_contig2	contig_91	94.12		True
unknown
90776	90885	347994	348103	ec_ill_ec_contig2	contig_91	96.36		True
unknown
115894	115994	373805	373905	ec_ill_ec_contig2	contig_91	90.1		True
unknown
116001	116173	373912	374084	ec_ill_ec_contig2	contig_91	90.75		True
unknown
116175	116319	374085	374229	ec_ill_ec_contig2	contig_91	92.41		True
unknown
116478	116578	374388	374488	ec_ill_ec_contig2	contig_91	98.02		True
unknown
196299	196405	434805	434911	ec_ill_ec_contig2	contig_91	91.59		True
unknown
196584	196673	435240	435329	ec_ill_ec_contig2	contig_91	92.22		True
unknown
198947	199040	437787	437880	ec_ill_ec_contig2	contig_91	93.62		True
unknown
199046	199280	437886	438120	ec_ill_ec_contig2	contig_91	91.49		True
unknown
199282	200896	438121	439735	ec_ill_ec_contig2	contig_91	90.96		True
unknown
202553	203560	441392	442399	ec_ill_ec_contig2	contig_91	90.87		True
unknown
206545	206771	445362	445588	ec_ill_ec_contig2	contig_91	90.75		True
unknown
207297	208650	446107	447460	ec_ill_ec_contig2	contig_91	91.58		True
unknown
216758	217642	455625	456509	ec_ill_ec_contig2	contig_91	91.19		True
unknown
217647	218068	456514	456935	ec_ill_ec_contig2	contig_91	90.76		True
unknown
219863	220255	458729	459121	ec_ill_ec_contig2	contig_91	92.88		True
unknown
260093	260274	505520	505701	ec_ill_ec_contig2	contig_91	93.41		True
unknown
260304	260384	505739	505819	ec_ill_ec_contig2	contig_91	95.06		True
unknown
264542	264717	509974	510149	ec_ill_ec_contig2	contig_91	90.91		True
unknown
264719	265011	510150	510442	ec_ill_ec_contig2	contig_91	90.44		True
unknown
309999	310091	538025	538117	ec_ill_ec_contig2	contig_91	95.7		True
unknown
310109	310261	538138	538290	ec_ill_ec_contig2	contig_91	94.12		True
unknown
312315	312687	540349	540721	ec_ill_ec_contig2	contig_91	91.15		True
unknown
198093	198176	541123	541040	ec_ill_ec_contig4	contig_91	100.0		True
unknown
197996	198092	541337	541241	ec_ill_ec_contig4	contig_91	98.97		True
unknown
187963	188417	551300	550846	ec_ill_ec_contig4	contig_91	91.5		True
unknown
182975	186967	556421	552425	ec_ill_ec_contig4	contig_91	90.47		True
unknown
125195	125765	613467	612897	ec_ill_ec_contig4	contig_91	90.72		True
unknown
107352	107645	621344	621051	ec_ill_ec_contig4	contig_91	91.5		True
unknown
93553	95187	638651	637017	ec_ill_ec_contig4	contig_91	91.68		True
unknown
91893	91963	640312	640242	ec_ill_ec_contig4	contig_91	90.14		True
unknown
83293	83551	672563	672305	ec_ill_ec_contig4	contig_91	90.35		True
unknown
81806	81888	674069	673987	ec_ill_ec_contig4	contig_91	96.39		True
unknown
81710	81786	674167	674091	ec_ill_ec_contig4	contig_91	90.91		True
unknown
66243	66575	695187	694855	ec_ill_ec_contig4	contig_91	92.49		True
unknown
64538	64603	696903	696838	ec_ill_ec_contig4	contig_91	96.97		True
unknown
63895	63959	697620	697556	ec_ill_ec_contig4	contig_91	96.92		True
unknown
40691	41457	709049	708283	ec_ill_ec_contig4	contig_91	90.61		True
unknown
40593	40672	709145	709066	ec_ill_ec_contig4	contig_91	90.0		True
unknown
40014	40099	709723	709638	ec_ill_ec_contig4	contig_91	91.86		True
unknown
38778	38998	718122	717902	ec_ill_ec_contig4	contig_91	91.86		True
unknown
34867	35084	721951	721734	ec_ill_ec_contig4	contig_91	91.82		True
unknown
30669	30832	726094	725931	ec_ill_ec_contig4	contig_91	91.46		True
unknown
30583	30667	726179	726095	ec_ill_ec_contig4	contig_91	91.76		True
unknown
17552	17673	787583	787462	ec_ill_ec_contig4	contig_91	90.16		True
unknown
17311	17548	787824	787587	ec_ill_ec_contig4	contig_91	92.02		True
unknown
16072	16815	789062	788319	ec_ill_ec_contig4	contig_91	92.47		True
unknown
12698	13574	792451	791577	ec_ill_ec_contig4	contig_91	90.08		True
unknown
9772	10174	795210	794808	ec_ill_ec_contig4	contig_91	90.07		True
unknown
9652	9743	795333	795242	ec_ill_ec_contig4	contig_91	92.39		True
unknown
3406	3586	801662	801482	ec_ill_ec_contig4	contig_91	93.92		True
unknown
228	524	805689	805393	ec_ill_ec_contig16	contig_91	95.29		True
unknown
1876	4902	808689	805673	ec_ill_ec_contig65	contig_91	96.97		True
unknown
1	1463	810470	809008	ec_ill_ec_contig65	contig_91	97.27		True
unknown
1	351	810416	810762	ec_ill_ec_contig6	contig_91	96.3		True
unknown
5624	5704	816466	816546	ec_ill_ec_contig39	contig_91	91.36		True
unknown
5705	6050	816548	816893	ec_ill_ec_contig39	contig_91	91.33		True
unknown
6054	6151	816894	816991	ec_ill_ec_contig39	contig_91	92.86		True
unknown
6183	6300	817023	817140	ec_ill_ec_contig39	contig_91	90.68		True
unknown
12751	13132	823770	824151	ec_ill_ec_contig39	contig_91	97.64		True
unknown
13134	13897	824152	824915	ec_ill_ec_contig39	contig_91	92.54		True
unknown
13898	14864	824930	825896	ec_ill_ec_contig39	contig_91	92.14		True
unknown
15004	15150	826048	826194	ec_ill_ec_contig39	contig_91	91.16		True
unknown
18536	18631	829578	829673	ec_ill_ec_contig39	contig_91	91.67		True
unknown
19292	19493	831038	831239	ec_ill_ec_contig39	contig_91	92.57		True
unknown
22061	22287	833808	834033	ec_ill_ec_contig39	contig_91	94.71		True
unknown
24143	24530	852774	853160	ec_ill_ec_contig39	contig_91	97.17		True
unknown
27168	27363	883847	884042	ec_ill_ec_contig15	contig_91	90.82		True
unknown
28106	28170	884784	884848	ec_ill_ec_contig15	contig_91	93.85		True
unknown
35561	35647	892508	892594	ec_ill_ec_contig15	contig_91	98.85		True
unknown
41998	42421	900950	901373	ec_ill_ec_contig15	contig_91	90.8		True
unknown
45155	45384	914790	915019	ec_ill_ec_contig15	contig_91	96.09		True
unknown
