Assembly	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part
Unaligned length	19975897	19974197	19975685	19978205	19977516	19978721	19978148	19975547	19977854	19971350	19962798	19974765	19966957	19963123	19967502	19964196	19955985	19965416	20001170	19999151	19998967
Genome fraction (%)	99.998	99.999	99.997	99.998	99.999	99.997	99.998	99.999	99.997	99.998	99.999	99.997	99.998	99.999	99.997	99.998	99.999	99.997	99.992	99.996	99.981
Duplication ratio	1.028	1.028	1.028	1.028	1.028	1.028	1.028	1.028	1.028	1.028	1.028	1.028	1.028	1.028	1.028	1.028	1.028	1.028	1.019	1.019	1.019
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	95.52	96.09	95.97	97.77	98.05	97.93	96.19	96.04	97.30	96.87	97.57	97.00	98.15	99.81	100.16	98.23	99.55	97.98	85.26	85.21	86.50
# indels per 100 kbp	11.22	11.29	11.09	11.11	11.19	11.22	10.69	10.44	10.71	10.66	10.59	10.51	22.10	21.50	20.92	19.92	19.52	19.95	104.18	103.50	103.49
Largest alignment	788614	788687	788686	788615	788681	788681	788617	788690	788691	788616	788689	788690	788547	788633	788619	788549	788636	788646	788053	788154	788151
Total aligned length	4095983	4096076	4095955	4097485	4097393	4097281	4096471	4096152	4096578	4096794	4096673	4096537	4096687	4097286	4097412	4096843	4097026	4096711	4060916	4061012	4061482
NGA50	329412	315070	329470	329413	315065	329482	329410	315067	329466	329410	315066	329464	329374	315048	329446	329400	315040	329451	329315	314876	329346
NGA75	257054	257052	257052	257049	257049	257049	257050	257052	257051	257050	257052	257052	257038	257023	257023	257032	257023	257033	256906	256896	256896
LGA50	4	5	4	4	5	4	4	5	4	4	5	4	4	5	4	4	5	4	4	5	4
LGA75	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
