All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MP_helen_r10_bins_1  MP_helen_r10_bins_2  MP_helen_r10_bins_3  MP_r10_bins_1  MP_r10_bins_2  MP_r10_bins_3  r1_medaka_r10_bins_1  r1_medaka_r10_bins_2  r1_medaka_r10_bins_3  r2_medaka_r10_bins_1  r2_medaka_r10_bins_2  r2_medaka_r10_bins_3  racon_r1_r10_bins_1  racon_r1_r10_bins_2  racon_r1_r10_bins_3  racon_r2_r10_bins_1  racon_r2_r10_bins_2  racon_r2_r10_bins_3  raw_r10_bins_1  raw_r10_bins_2  raw_r10_bins_3
# misassembled contigs       1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
Misassembled contigs length  1945220              1948337              1946027              1947386        1948618        1947377        1946006               1948295               1946186               1938810               1942023               1939676               1934396              1939137              1934016              1929499              1935082              1927070              1945410         1947409         1945404       
# local misassemblies        15                   11                   13                   11             12             12             24                    25                    23                    35                    26                    33                    49                   42                   47                   36                   30                   41                   29              28              34            
# scaffold gap ext. mis.     0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# scaffold gap loc. mis.     0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# unaligned mis. contigs     6                    6                    6                    6              6              6              6                     6                     6                     6                     6                     6                     6                    6                    6                    6                    6                    6                    6               6               6             
# unaligned contigs          0 + 7 part           0 + 7 part           0 + 7 part           0 + 7 part     0 + 7 part     0 + 7 part     0 + 7 part            0 + 7 part            0 + 7 part            0 + 7 part            0 + 7 part            0 + 7 part            0 + 7 part           0 + 7 part           0 + 7 part           0 + 7 part           0 + 7 part           0 + 7 part           0 + 7 part      0 + 7 part      0 + 7 part    
Unaligned length             22080129             22078732             22079777             22081965       22080516       22083138       22084343              22083386              22085230              22085893              22082005              22087193              22078949             22079453             22078582             22079068             22078605             22080353             22106450        22109695        22113867      
Genome fraction (%)          99.858               99.943               99.933               99.943         99.936         99.936         99.878                99.934                99.874                99.910                99.928                99.925                99.870               99.908               99.862               99.891               99.890               99.894               99.861          99.877          99.861        
Duplication ratio            1.104                1.105                1.103                1.105          1.106          1.104          1.103                 1.104                 1.102                 1.097                 1.101                 1.097                 1.099                1.101                1.099                1.096                1.099                1.094                1.084           1.083           1.080         
# N's per 100 kbp            0.00                 0.00                 0.00                 0.00           0.00           0.00           0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00            0.00            0.00          
# mismatches per 100 kbp     265.71               265.48               264.34               270.58         270.71         266.55         312.79                303.09                310.92                284.20                280.93                290.42                268.50               274.50               273.74               268.39               268.95               265.33               365.15          362.10          350.07        
# indels per 100 kbp         15.48                10.53                10.98                12.08          12.03          11.47          15.86                 15.08                 17.08                 12.25                 9.70                  13.97                 56.13                55.39                53.92                52.18                53.62                52.18                352.17          349.51          346.46        
Largest alignment            177202               177187               177204               177203         177190         177205         173024                177182                173019                177196                177182                172902                172875               176962               153223               176468               177027               172807               177003          176965          176989        
Total aligned length         1983285              1988168              1984361              1987156        1989581        1988339        1982321               1987996               1981732               1973131               1980171               1972750               1974972              1979367              1975653              1970239              1976244              1966349              1950365         1947273         1943127       
NGA50                        88181                69796                89777                89793          81538          89790          79491                 81506                 79491                 89836                 81468                 89788                 68570                81452                68555                89682                81428                81594                69730           69751           69730         
NGA75                        35033                35503                35032                35033          35504          35502          35032                 35503                 35023                 35032                 35142                 35032                 34819                35486                34819                35019                35089                35004                34946           35172           34946         
LGA50                        8                    8                    8                    8              8              8              8                     8                     8                     8                     8                     8                     9                    8                    9                    8                    8                    8                    8               8               8             
LGA75                        17                   18                   17                   17             17             16             18                    17                    18                    17                    17                    17                    18                   17                   18                   17                   17                   17                   18              18              18            
