All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
Total length                 24075406        24070890              24072753               24062203               24060263              24054195              30849737         24074923        24071344              24072870               24062184               24061558              24055354              30850562         24074822        24070715              24072827               24063225               24060618              24054198              30850200       
Reference length             2958570         2958570               2958570                2958570                2958570               2958570               2958570          2958570         2958570               2958570                2958570                2958570               2958570               2958570          2958570         2958570               2958570                2958570                2958570               2958570               2958570        
GC (%)                       44.80           44.80                 44.80                  44.80                  44.79                 44.78                 49.48            44.80           44.80                 44.80                  44.80                  44.79                 44.79                 49.48            44.80           44.80                 44.80                  44.80                  44.79                 44.78                 49.48          
Reference GC (%)             37.84           37.84                 37.84                  37.84                  37.84                 37.84                 37.84            37.84           37.84                 37.84                  37.84                  37.84                 37.84                 37.84            37.84           37.84                 37.84                  37.84                  37.84                 37.84                 37.84          
N50                          4045595         4045617               4045595                4045588                4045225               4045305               4756113          4045604         4045620               4045593                4045591                4045221               4045309               4756067          4045604         4045624               4045591                4045594                4045221               4045286               4756051        
NG50                         4766016         4765867               4765431                4765364                4764829               4764690               6787718          4765469         4765339               4765413                4765389                4765359               4764750               6788581          4765404         4765326               4765369                4765362                4764572               4764639               6788581        
N75                          2845426         2845369               2845429                2845431                2845288               2845343               2990676          2845426         2845369               2845430                2845431                2845286               2845339               2990627          2845426         2845369               2845430                2845431                2845286               2845339               2990627        
NG75                         4766016         4765867               4765431                4765364                4764829               4764690               6787718          4765469         4765339               4765413                4765389                4765359               4764750               6788581          4765404         4765326               4765369                4765362                4764572               4764639               6788581        
L50                          3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3              
LG50                         1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
L75                          5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5              
LG75                         1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
# misassemblies              2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2              
# misassembled contigs       1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length  2992084         2992068               2992075                2992072                2991900               2991958               2990676          2992084         2992066               2992074                2992072                2991919               2991966               2990627          2992084         2992066               2992074                2992073                2991919               2991966               2990627        
# local misassemblies        7               7                     7                      7                      7                     7                     12               7               7                     7                      7                      7                     7                     14               7               7                     7                      7                      7                     7                     14             
# scaffold gap ext. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# unaligned mis. contigs     6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     7                6               6                     6                      6                      6                     6                     7              
# unaligned contigs          0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 8 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 8 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 8 part     
Unaligned length             20957148        20950418              20954137               20943432               20942604              20935264              27791967         20957322        20951667              20953754               20942928               20943501              20935632              27793155         20957215        20950725              20953730               20943650               20942946              20934597              27792750       
Genome fraction (%)          99.984          99.984                99.984                 99.984                 99.984                99.984                99.983           99.984          99.984                99.984                 99.984                 99.984                99.984                99.981           99.984          99.984                99.984                 99.984                 99.984                99.984                99.981         
Duplication ratio            1.054           1.055                 1.055                  1.055                  1.054                 1.055                 1.034            1.054           1.055                 1.055                  1.055                  1.054                 1.055                 1.034            1.054           1.055                 1.055                  1.055                  1.054                 1.055                 1.034          
# N's per 100 kbp            0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00           
# mismatches per 100 kbp     230.68          236.87                228.24                 229.02                 225.95                230.48                143.85           228.75          234.84                231.19                 231.22                 226.93                234.13                143.75           228.85          235.41                231.09                 232.13                 225.88                233.76                144.22         
# indels per 100 kbp         21.98           22.42                 22.11                  21.67                  31.01                 29.69                 116.22           21.30           21.71                 22.18                  21.67                  30.70                 28.74                 116.80           21.30           21.71                 22.15                  21.61                  30.74                 28.44                 116.80         
Largest alignment            1569037         1569032               1569034                1569033                1568957               1568971               1568370          1569037         1569030               1569032                1569032                1568966               1568990               1568344          1569037         1569030               1569032                1569033                1568966               1568990               1568344        
Total aligned length         3117784         3119998               3118142                3118297                3117185               3118457               3057325          3117127         3119203               3118642                3118782                3117585               3119250               3057024          3117133         3119516               3118623                3119101                3117200               3119129               3057067        
NGA50                        1569037         1569032               1569034                1569033                1568957               1568971               1568370          1569037         1569030               1569032                1569032                1568966               1568990               1568344          1569037         1569030               1569032                1569033                1568966               1568990               1568344        
NGA75                        1410523         1410493               1410517                1410515                1410423               1410466               1409713          1410523         1410493               1410518                1410516                1410432               1410451               1409724          1410523         1410493               1410518                1410516                1410432               1410451               1409724        
LGA50                        1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
LGA75                        2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2              
