Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6
# unaligned contigs	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 7 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 7 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 7 part
Unaligned length	21097375	21091297	21093348	21086501	21088634	21081227	21152186	21097079	21091552	21095755	21083996	21089161	21080389	21151019	21097843	21090496	21093253	21086982	21087208	21080758	21152503
Genome fraction (%)	99.954	99.954	99.954	99.954	99.954	99.954	99.930	99.954	99.954	99.954	99.954	99.954	99.954	99.948	99.954	99.954	99.954	99.954	99.954	99.954	99.949
Duplication ratio	1.056	1.057	1.057	1.057	1.055	1.055	1.032	1.056	1.057	1.056	1.056	1.054	1.056	1.033	1.056	1.057	1.057	1.057	1.055	1.056	1.032
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	248.76	255.78	252.30	250.21	231.69	239.35	155.51	249.18	253.44	247.09	247.51	229.24	242.83	153.32	249.29	252.59	253.12	250.95	232.19	243.36	148.85
# indels per 100 kbp	15.72	15.61	14.12	13.45	21.50	21.08	131.95	15.65	15.79	13.80	13.77	21.61	21.61	127.03	15.97	15.72	14.16	13.91	20.37	21.64	126.50
Largest alignment	2560115	2560015	2560118	2560122	2559977	2560026	2555531	2390859	2390838	2390855	2390858	2390735	2390788	2387737	2390859	2390842	2390857	2390855	2390748	2390779	2387793
Total aligned length	2971690	2973422	2973434	2972354	2966936	2969023	2907000	2971749	2973223	2971523	2971890	2965669	2970008	2908499	2971737	2972784	2973513	2972652	2967459	2970193	2907357
NGA50	2560115	2560015	2560118	2560122	2559977	2560026	2555531	2390859	2390838	2390855	2390858	2390735	2390788	2387737	2390859	2390842	2390857	2390855	2390748	2390779	2387793
NGA75	2560115	2560015	2560118	2560122	2559977	2560026	2555531	2390859	2390838	2390855	2390858	2390735	2390788	2387737	2390859	2390842	2390857	2390855	2390748	2390779	2387793
LGA50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LGA75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
