All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
# scaffold gap ext. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# unaligned mis. contigs     7               7                     7                      7                      7                     7                     6                7               7                     7                      7                      7                     7                     6                7               7                     7                      7                      7                     7                     6              
# unaligned contigs          0 + 8 part      0 + 8 part            0 + 8 part             0 + 8 part             0 + 8 part            0 + 8 part            0 + 8 part       0 + 8 part      0 + 8 part            0 + 8 part             0 + 8 part             0 + 8 part            0 + 8 part            0 + 8 part       0 + 8 part      0 + 8 part            0 + 8 part             0 + 8 part             0 + 8 part            0 + 8 part            0 + 8 part     
Unaligned length             24048558        24044027              24045318               24035007               24033709              24027509              24078621         24047337        24044395              24045165               24034572               24034525              24027052              24079193         24047396        24043859              24045122               24035509               24033005              24025704              24077872       
Genome fraction (%)          99.894          99.894                99.894                 99.894                 99.894                99.894                99.864           99.893          99.893                99.893                 99.893                 99.893                99.893                99.878           99.893          99.893                99.893                 99.893                 99.893                99.893                99.878         
Duplication ratio            1.015           1.015                 1.015                  1.015                  1.014                 1.015                 1.008            1.015           1.015                 1.015                  1.015                  1.015                 1.015                 1.008            1.015           1.015                 1.015                  1.015                  1.015                 1.015                 1.008          
# N's per 100 kbp            0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00           
# mismatches per 100 kbp     58.70           56.20                 56.44                  56.08                  57.73                 58.34                 64.88            59.25           56.23                 56.62                  56.53                  58.59                 59.86                 64.38            59.03           56.17                 56.62                  56.56                  59.74                 60.31                 65.08          
# indels per 100 kbp         5.46            5.09                  3.66                   3.63                   14.57                 13.39                 96.71            5.37            5.03                  3.53                   3.53                   14.86                 13.47                 97.06            5.37            5.03                  3.54                   3.63                   14.88                 13.54                 97.24          
Largest alignment            1643841         1643830               1643846                1643846                1643660               1643672               2098268          1643839         2052184               2052214                2052214                2052072               2052098               2098630          1643839         2052184               2052213                2052214                2052072               2052059               2098630        
Total aligned length         6815349         6815307               6815923                6815686                6814362               6814608               6768630          6816075         6815379               6816198                6816108                6814892               6816238               6768894          6815915         6815286               6816197                6816213                6815474               6816362               6769853        
NGA50                        1274469         1274461               1274469                1274469                1274323               1274352               1471391          1274459         1643839               1643848                1643848                1643664               1643668               1471418          1274459         1643839               1643848                1643849                1643664               1643656               1471418        
NGA75                        1070338         1070324               1070329                1070332                1070244               1070249               610115           1070335         1070324               1070329                1070331                1070258               1070257               610213           1070335         1070324               1070329                1070331                1070260               1070261               610213         
LGA50                        3               3                     3                      3                      3                     3                     2                3               2                     2                      2                      2                     2                     2                3               2                     2                      2                      2                     2                     2              
LGA75                        4               4                     4                      4                      4                     4                     4                4               4                     4                      4                      4                     4                     4                4               4                     4                      4                      4                     4                     4              
