Assembly	r10_2bins_1_MP	r10_2bins_1_MP_helen	r10_2bins_1_r1_medaka	r10_2bins_1_r2_medaka	r10_2bins_1_racon_r1	r10_2bins_1_racon_r2	r10_2bins_1_raw	r10_2bins_2_MP	r10_2bins_2_MP_helen	r10_2bins_2_r1_medaka	r10_2bins_2_r2_medaka	r10_2bins_2_racon_r1	r10_2bins_2_racon_r2	r10_2bins_2_raw	r10_2bins_3_MP	r10_2bins_3_MP_helen	r10_2bins_3_r1_medaka	r10_2bins_3_r2_medaka	r10_2bins_3_racon_r1	r10_2bins_3_racon_r2	r10_2bins_3_raw
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part
Unaligned length	21275494	21272822	21273068	21262531	21264862	21254585	21320528	21275005	21273170	21274232	21263132	21264831	21254957	21320663	21274902	21272670	21274358	21263748	21262681	21254198	21320562
Genome fraction (%)	99.537	99.537	99.537	99.537	99.537	99.537	99.535	99.537	99.537	99.537	99.537	99.537	99.537	99.542	99.537	99.537	99.537	99.537	99.537	99.537	99.535
Duplication ratio	1.046	1.045	1.046	1.046	1.044	1.046	1.024	1.046	1.045	1.046	1.046	1.045	1.046	1.024	1.046	1.045	1.045	1.046	1.045	1.046	1.024
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	288.63	256.69	291.21	291.62	277.76	295.88	253.15	289.79	257.48	285.61	287.21	283.48	300.29	255.56	289.60	257.36	285.20	289.49	288.67	300.25	255.09
# indels per 100 kbp	111.67	41.65	76.62	77.15	109.61	109.91	164.87	112.52	41.95	77.00	77.56	111.67	111.25	166.01	112.26	41.58	76.85	77.22	112.34	110.13	165.91
Largest alignment	948835	948132	948683	948668	949071	948990	948394	948834	948258	948799	948659	948996	948996	948394	948836	948131	948671	948663	949124	948985	948394
Total aligned length	2797990	2796149	2797764	2797760	2793471	2797697	2739551	2798005	2796255	2796726	2797140	2794814	2798484	2739395	2798007	2796126	2796557	2797565	2796024	2798087	2739134
NGA50	480571	480265	480496	480503	480646	480631	480377	480571	480269	480494	480494	480646	480604	480377	480564	480259	480494	480503	480646	480612	480377
NGA75	381480	381241	381438	381432	381547	381568	381359	381488	381239	381431	381442	381560	381561	381350	381498	381244	381432	381444	381560	381565	381350
LGA50	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LGA75	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
