All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MP_helen_r10_bins_1  MP_helen_r10_bins_2  MP_helen_r10_bins_3  MP_r10_bins_1  MP_r10_bins_2  MP_r10_bins_3  r1_medaka_r10_bins_1  r1_medaka_r10_bins_2  r1_medaka_r10_bins_3  r2_medaka_r10_bins_1  r2_medaka_r10_bins_2  r2_medaka_r10_bins_3  racon_r1_r10_bins_1  racon_r1_r10_bins_2  racon_r1_r10_bins_3  racon_r2_r10_bins_1  racon_r2_r10_bins_2  racon_r2_r10_bins_3  raw_r10_bins_1  raw_r10_bins_2  raw_r10_bins_3
Genome fraction (%)          99.394               99.400               99.398               99.400         99.400         99.399         99.398                99.400                99.398                99.398                99.399                99.399                99.397               99.398               99.396               99.396               99.398               99.396               99.369          99.371          99.371        
Duplication ratio            1.044                1.044                1.044                1.044          1.043          1.043          1.044                 1.044                 1.044                 1.043                 1.043                 1.043                 1.043                1.043                1.043                1.043                1.043                1.043                1.028           1.027           1.028         
# N's per 100 kbp            0.00                 0.00                 0.00                 0.00           0.00           0.00           0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00            0.00            0.00          
# mismatches per 100 kbp     168.17               166.00               167.75               176.47         173.47         174.92         178.85                177.70                178.75                174.32                173.20                175.00                177.22               175.15               176.37               177.93               175.97               178.72               269.69          272.89          272.56        
# indels per 100 kbp         24.42                21.37                21.94                38.67          38.32          38.65          26.56                 26.89                 27.16                 26.23                 26.12                 26.79                 62.03                61.89                61.93                57.85                58.56                57.14                305.23          308.79          306.54        
Largest alignment            2559993              2395781              2593982              2560095        2395774        2594051        2560100               2395776               2594057               2560100               2395777               2594055               2559973              2395662              2593934              2560012              2395671              2593947              2555544         2389434         2590031       
Total aligned length         30746119             30740559             30751251             30749875       30742915       30753462       30747605              30739946              30748203              30735289              30731381              30736256              30738378             30731783             30742614             30734140             30729618             30731685             30681327        30672256        30675980      
NA50                         948383               948350               948302               949048         948286         948950         948968                948851                948875                948989                948885                948890                949226               949109               949153               949271               949166               949165               788152          777743          788149        
NA75                         399301               394041               381438               399298         394054         381657         399301                394045                381619                399302                394045                381615                399233               393984               373882               399242               394006               381605               345502          381477          373536        
LA50                         11                   11                   11                   11             11             11             11                    11                    11                    11                    11                    11                    11                   11                   11                   11                   11                   11                   11              11              11            
LA75                         23                   25                   23                   23             25             24             23                    25                    23                    23                    25                    23                    23                   25                   23                   23                   25                   23                   26              26              26            
