All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_1bin_v4_1_MP  r10_1bin_v4_1_MP_helen  r10_1bin_v4_1_r1_medaka  r10_1bin_v4_1_r2_medaka  r10_1bin_v4_1_racon_r1  r10_1bin_v4_1_racon_r2  r10_1bin_v4_1_raw  r10_1bin_v4_2_MP  r10_1bin_v4_2_MP_helen  r10_1bin_v4_2_r1_medaka  r10_1bin_v4_2_r2_medaka  r10_1bin_v4_2_racon_r1  r10_1bin_v4_2_racon_r2  r10_1bin_v4_2_raw  r10_1bin_v4_3_MP  r10_1bin_v4_3_MP_helen  r10_1bin_v4_3_r1_medaka  r10_1bin_v4_3_r2_medaka  r10_1bin_v4_3_racon_r1  r10_1bin_v4_3_racon_r2  r10_1bin_v4_3_raw
LG50                         1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
L75                          5                 5                       5                        5                        5                       5                       5                  5                 5                       5                        5                        5                       5                       5                  5                 5                       5                        5                        5                       5                       5                
LG75                         1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
# misassemblies              1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
# misassembled contigs       1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
Misassembled contigs length  2845424           2845373                 2845569                  2845565                  2845263                 2845303                 2843857            2845424           2845368                 2845573                  2845566                  2845303                 2845324                 2843857            2845425           2845368                 2845568                  2845560                  2845287                 2845313                 2843857          
# local misassemblies        16                16                      16                       16                       16                      16                      20                 16                16                      16                       16                       16                      16                      20                 16                16                      16                       16                       16                      16                      20               
# scaffold gap ext. mis.     0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.     0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# unaligned mis. contigs     6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                  6                 6                       5                        6                        5                       6                       6                
# unaligned contigs          0 + 6 part        0 + 6 part              0 + 6 part               0 + 6 part               0 + 6 part              0 + 6 part              0 + 7 part         0 + 6 part        0 + 6 part              0 + 6 part               0 + 6 part               0 + 6 part              0 + 6 part              0 + 7 part         0 + 6 part        0 + 6 part              0 + 6 part               0 + 6 part               0 + 6 part              0 + 6 part              0 + 7 part       
Unaligned length             21096644          21093803                21097770                 21088186                 21088322                21078268                21152484           21097744          21093393                21097618                 21087627                 21087037                21077720                21152048           21097245          21092484                21097723                 21086783                 21087781                21077271                21149899         
Genome fraction (%)          99.954            99.954                  99.954                   99.954                   99.954                  99.954                  99.949             99.954            99.954                  99.954                   99.954                   99.954                  99.954                  99.949             99.954            99.954                  99.954                   99.954                   99.954                  99.954                  99.949           
Duplication ratio            1.056             1.056                   1.057                    1.056                    1.055                   1.056                   1.032              1.056             1.056                   1.057                    1.056                    1.055                   1.056                   1.032              1.056             1.057                   1.056                    1.056                    1.055                   1.056                   1.033            
# N's per 100 kbp            0.00              0.04                    0.00                     0.00                     0.00                    0.00                    0.00               0.00              0.00                    0.00                     0.00                     0.00                    0.00                    0.00               0.00              0.00                    0.00                     0.00                     0.00                    0.00                    0.00             
# mismatches per 100 kbp     249.57            247.58                  250.42                   248.79                   229.77                  244.46                  148.32             248.15            249.54                  251.77                   250.10                   234.78                  242.58                  148.78             248.40            251.38                  248.93                   244.71                   236.05                  245.21                  152.97           
# indels per 100 kbp         15.29             14.90                   19.48                    18.77                    22.07                   20.54                   125.89             15.29             15.58                   20.22                    19.09                    21.11                   22.89                   125.40             15.65             15.75                   19.59                    18.91                    23.42                   21.89                   125.61           
Largest alignment            2560117           2560082                 2560238                  2560235                  2559977                 2560017                 2556100            2560120           2560017                 2560247                  2560240                  2560005                 2560018                 2556103            2390859           2390838                 2390971                  2390963                  2390760                 2390767                 2387805          
Total aligned length         2972166           2971621                 2972591                  2971652                  2966665                 2970668                 2907298            2971657           2971708                 2972832                  2972142                  2968087                 2969934                 2907652            2971698           2972639                 2971919                  2970545                  2967907                 2970859                 2909306          
NGA50                        2560117           2560082                 2560238                  2560235                  2559977                 2560017                 2556100            2560120           2560017                 2560247                  2560240                  2560005                 2560018                 2556103            2390859           2390838                 2390971                  2390963                  2390760                 2390767                 2387805          
NGA75                        2560117           2560082                 2560238                  2560235                  2559977                 2560017                 2556100            2560120           2560017                 2560247                  2560240                  2560005                 2560018                 2556103            2390859           2390838                 2390971                  2390963                  2390760                 2390767                 2387805          
LGA50                        1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
LGA75                        1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
