All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
# misassembled contigs       1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length  1947363         1945924               1946055                1936041                1934715               1928577               1945528          1947395         1946836               1946184                1935951                1935382               1929636               1945673          1947381         1946440               1946201                1937045                1935221               1928675               1945673        
# local misassemblies        12              15                    31                     30                     45                    35                    29               12              12                    29                     30                     44                    37                    29               11              14                    29                     32                     45                    36                    29             
# scaffold gap ext. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# unaligned mis. contigs     6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6              
# unaligned contigs          0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part     
Unaligned length             22083235        22080532              22086147               22085384               22081110              22079991              22110443         22082790        22079536              22085840               22083946               22080616              22078883              22111437         22082122        22079034              22085966               22085014               22080380              22079426              22111100       
Genome fraction (%)          99.936          99.865                99.927                 99.923                 99.891                99.894                99.873           99.936          99.943                99.908                 99.885                 99.896                99.857                99.883           99.943          99.906                99.926                 99.906                 99.896                99.859                99.877         
Duplication ratio            1.104           1.104                 1.101                  1.096                  1.097                 1.095                 1.082            1.104           1.104                 1.102                  1.097                  1.098                 1.096                 1.082            1.104           1.104                 1.101                  1.097                  1.098                 1.095                 1.082          
# N's per 100 kbp            0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00           
# mismatches per 100 kbp     267.33          266.13                297.73                 274.40                 266.17                268.05                360.29           267.16          267.64                292.08                 282.77                 268.38                270.26                356.87           269.53          270.57                289.58                 279.33                 267.60                266.81                357.66         
# indels per 100 kbp         11.58           11.09                 14.52                  10.53                  56.01                 53.79                 349.80           12.08           13.91                 12.64                  12.92                  59.50                 52.09                 348.44           12.30           12.59                 12.25                  12.20                  59.05                 54.36                 348.40         
Largest alignment            177205          177204                173115                 177199                 173026                177108                177004           177206          177204                177201                 177197                 176864                177019                176985           177206          177203                177199                 176167                 176864                175845                176985         
Total aligned length         1988417         1986604               1980576                1970889                1975644               1968327               1945838          1988386         1985729               1983441                1972337                1977468               1970373               1944732          1986614         1985595               1980885                1972249                1976757               1968959               1947001        
NGA50                        89790           88405                 89889                  81505                  81598                 81441                 69730            89792           89688                 89898                  81317                  81493                 81195                 69730            89792           89076                 89788                  83441                  81496                 83365                 69730          
NGA75                        35505           35503                 34836                  35032                  34816                 34890                 34945            35504           35032                 35033                  35032                  35008                 34997                 34946            35032           35032                 35033                  35031                  35011                 35019                 34946          
LGA50                        8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
LGA75                        16              16                    17                     17                     17                    17                    18               16              17                    17                     17                     17                    17                    18               17              17                    17                     17                     17                    17                    18             
