All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MP_helen_r10_bins_1  MP_helen_r10_bins_2  MP_helen_r10_bins_3  MP_r10_bins_1  MP_r10_bins_2  MP_r10_bins_3  r1_medaka_r10_bins_1  r1_medaka_r10_bins_2  r1_medaka_r10_bins_3  r2_medaka_r10_bins_1  r2_medaka_r10_bins_2  r2_medaka_r10_bins_3  racon_r1_r10_bins_1  racon_r1_r10_bins_2  racon_r1_r10_bins_3  racon_r2_r10_bins_1  racon_r2_r10_bins_2  racon_r2_r10_bins_3  raw_r10_bins_1  raw_r10_bins_2  raw_r10_bins_3
# misassembled contigs       1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
Misassembled contigs length  4045615              4045634              4045636              4045594        4045608        4045601        4045589               4045607               4045601               4045589               4045605               4045604               4045233              4045287              4045256              4045364              4045333              4045318              4042946         4043032         4042936       
# local misassemblies        13                   13                   13                   13             13             13             13                    13                    13                    13                    13                    13                    13                   13                   13                   13                   13                   13                   17              18              18            
# scaffold gap ext. mis.     0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# scaffold gap loc. mis.     0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# unaligned mis. contigs     6                    6                    6                    6              6              6              6                     6                     6                     6                     6                     6                     6                    6                    6                    6                    6                    6                    5               5               5             
# unaligned contigs          0 + 7 part           0 + 7 part           0 + 7 part           0 + 7 part     0 + 7 part     0 + 7 part     0 + 7 part            0 + 7 part            0 + 7 part            0 + 7 part            0 + 7 part            0 + 7 part            0 + 7 part           0 + 7 part           0 + 7 part           0 + 7 part           0 + 7 part           0 + 7 part           0 + 7 part      0 + 7 part      0 + 7 part    
Unaligned length             19974162             19976128             19974972             19977168       19977463       19977318       19976037              19977816              19975947              19968217              19971589              19969936              19962159             19967864             19962560             19957381             19963756             19956863             19999507        20002106        20001739      
Genome fraction (%)          99.999               99.999               99.999               99.999         99.999         99.999         99.999                99.999                99.999                99.999                99.999                99.999                99.999               99.999               99.999               99.999               99.999               99.999               99.993          99.996          99.996        
Duplication ratio            1.027                1.028                1.027                1.028          1.028          1.028          1.028                 1.028                 1.028                 1.028                 1.028                 1.028                 1.028                1.028                1.028                1.028                1.028                1.028                1.019           1.019           1.018         
# N's per 100 kbp            0.00                 0.00                 0.00                 0.00           0.00           0.00           0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00            0.00            0.00          
# mismatches per 100 kbp     94.41                95.94                94.21                98.20          98.85          97.85          95.77                 97.05                 96.22                 96.19                 96.09                 95.11                 99.20                97.65                98.02                99.55                97.17                96.47                85.23           89.75           85.46         
# indels per 100 kbp         10.91                11.62                11.19                11.19          11.44          11.42          10.41                 10.64                 10.54                 10.51                 10.64                 10.34                 21.23                21.73                21.65                19.85                19.92                20.22                102.62          106.18          106.41        
Largest alignment            788687               552725               788687               788681         552718         788681         788689                552721                788690                788690                552723                788691                788627               552675               788636               788646               552660               788614               788152          552394          788149        
Total aligned length         4094787              4096058              4094803              4097433        4097923        4097355        4096010               4096557               4096344               4096186               4096019               4095482               4097127              4096289              4096276              4097207              4096331              4095143              4059712         4059477         4057707       
NGA50                        329468               329467               315070               329482         329480         315065         329464                329466                315066                329465                329466                315066                329417               329449               315047               329449               329453               315035               329347          329353          314876        
NGA75                        257052               257051               257052               257049         257050         257049         257051                257051                257051                257051                257051                257052                257020               257031               257028               257028               257036               257029               256893          256898          256896        
LGA50                        4                    5                    5                    4              5              5              4                     5                     5                     4                     5                     5                     4                    5                    5                    4                    5                    5                    4               5               5             
LGA75                        8                    9                    8                    8              9              8              8                     9                     8                     8                     9                     8                     8                    9                    8                    8                    9                    8                    8               9               8             
