All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MP_helen_r10_bins_1  MP_helen_r10_bins_2  MP_helen_r10_bins_3  MP_r10_bins_1  MP_r10_bins_2  MP_r10_bins_3  r1_medaka_r10_bins_1  r1_medaka_r10_bins_2  r1_medaka_r10_bins_3  r2_medaka_r10_bins_1  r2_medaka_r10_bins_2  r2_medaka_r10_bins_3  racon_r1_r10_bins_1  racon_r1_r10_bins_2  racon_r1_r10_bins_3  racon_r2_r10_bins_1  racon_r2_r10_bins_2  racon_r2_r10_bins_3  raw_r10_bins_1  raw_r10_bins_2  raw_r10_bins_3
# scaffold gap ext. mis.     0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# scaffold gap loc. mis.     0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# unaligned mis. contigs     7                    7                    7                    7              7              7              7                     7                     7                     6                     7                     7                     7                    7                    7                    6                    7                    7                    6               7               6             
# unaligned contigs          0 + 8 part           0 + 8 part           0 + 8 part           0 + 8 part     0 + 8 part     0 + 8 part     0 + 8 part            0 + 8 part            0 + 8 part            0 + 8 part            0 + 8 part            0 + 8 part            0 + 8 part           0 + 8 part           0 + 8 part           0 + 8 part           0 + 8 part           0 + 8 part           0 + 8 part      0 + 8 part      0 + 8 part    
Unaligned length             24042643             24046657             24044196             24047730       24049851       24048222       24045077              24048537              24046109              24037819              24041340              24039429              24032724             24039288             24033116             24028398             24034056             24026484             24077032        24079252        24076394      
Genome fraction (%)          99.894               99.894               99.894               99.894         99.894         99.894         99.894                99.894                99.894                99.894                99.894                99.894                99.894               99.894               99.894               99.894               99.894               99.894               99.863          99.864          99.875        
Duplication ratio            1.015                1.014                1.014                1.015          1.015          1.015          1.015                 1.015                 1.015                 1.015                 1.015                 1.015                 1.015                1.014                1.014                1.015                1.014                1.014                1.008           1.008           1.008         
# N's per 100 kbp            0.00                 0.00                 0.00                 0.00           0.00           0.00           0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                 0.00                 0.00                 0.00                 0.00                 0.00                 0.00            0.00            0.00          
# mismatches per 100 kbp     56.29                55.48                55.20                59.25          57.91          58.56          56.56                 55.35                 55.77                 56.02                 55.89                 55.29                 58.46                56.66                57.57                58.25                58.34                57.51                64.74           64.86           65.35         
# indels per 100 kbp         5.45                 5.18                 3.81                 5.88           5.49           5.71           3.59                  3.66                  3.59                  3.59                  3.76                  3.57                  14.16                13.66                13.78                12.50                13.03                12.96                97.03           96.80           97.39         
Largest alignment            1643815              1643826              2052278              1643836        1643839        1643777        1643845               1643844               2052326               1643846               1643841               2052324               1643669              1643678              2052173              1643691              1643705              2052196              2098266         2098268         2098661       
Total aligned length         6815252              6814518              6814997              6815859        6814586        6815908        6816004               6814815               6815627               6815624               6815298               6815326               6814861              6813236              6814529              6814619              6814534              6814444              6768420         6768571         6770126       
NGA50                        1274462              1274461              1643773              1274471        1274471        1188534        1274468               1274469               1643772               1274472               1274470               1643777               1274332              1274331              1643599              1274366              1274358              1643642              1471342         1471391         1471541       
NGA75                        1070325              1070325              1070208              1070339        1070339        1070192        1070330               1070333               1070188               1070330               1070331               1070186               1070260              1070256              1070099              1070257              1070262              1070117              610112          610115          569700        
LGA50                        3                    3                    2                    3              3              3              3                     3                     2                     3                     3                     2                     3                    3                    2                    3                    3                    2                    2               2               2             
LGA75                        4                    4                    4                    4              4              4              4                     4                     4                     4                     4                     4                     4                    4                    4                    4                    4                    4                    4               4               4             
