Assembly	r10_2bins_v2_1_MP	r10_2bins_v2_1_MP_helen	r10_2bins_v2_1_r1_medaka	r10_2bins_v2_1_r2_medaka	r10_2bins_v2_1_racon_r1	r10_2bins_v2_1_racon_r2	r10_2bins_v2_1_raw	r10_2bins_v2_2_MP	r10_2bins_v2_2_MP_helen	r10_2bins_v2_2_r1_medaka	r10_2bins_v2_2_r2_medaka	r10_2bins_v2_2_racon_r1	r10_2bins_v2_2_racon_r2	r10_2bins_v2_2_raw	r10_2bins_v2_3_MP	r10_2bins_v2_3_MP_helen	r10_2bins_v2_3_r1_medaka	r10_2bins_v2_3_r2_medaka	r10_2bins_v2_3_racon_r1	r10_2bins_v2_3_racon_r2	r10_2bins_v2_3_raw
NG50	6792242	6792185	6792244	6792252	6791600	6791732	6788581	6792252	6792198	6792245	6792243	6791577	6791686	6787718	6792252	6792198	6792245	6792243	6791577	6791686	6787718
N75	2992083	2992068	2992071	2992074	2991898	2991964	2990667	2992084	2992066	2992071	2992072	2991914	2991953	2990633	2992084	2992066	2992071	2992073	2991916	2991960	2990633
NG75	6792242	6792185	6792244	6792252	6791600	6791732	6788581	6792252	6792198	6792245	6792243	6791577	6791686	6787718	6792252	6792198	6792245	6792243	6791577	6791686	6787718
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
LG75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassemblies	8	6	6	6	6	6	10	6	6	6	6	6	6	10	6	6	6	6	6	6	10
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	6792242	6792185	6792244	6792252	6791600	6791732	6788581	6792252	6792198	6792245	6792243	6791577	6791686	6787718	6792252	6792198	6792245	6792243	6791577	6791686	6787718
# local misassemblies	11	11	11	11	11	11	25	11	11	11	11	11	11	29	11	11	11	11	11	11	29
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	7	7	7	7	7	7	6	7	7	7	7	7	7	6	7	7	7	7	7	7	7
# unaligned contigs	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 7 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part
Unaligned length	24046874	24042487	24044291	24033589	24032131	24026773	21233862	24047726	24043803	24044012	24035756	24032504	24029144	24078261	24047588	24044048	24044416	24028070	24033065	24024838	24076495
Genome fraction (%)	99.893	99.893	99.893	99.893	99.893	99.893	99.878	99.894	99.894	99.894	99.894	99.894	99.894	99.864	99.894	99.894	99.894	99.894	99.894	99.894	99.864
Duplication ratio	1.015	1.015	1.015	1.015	1.015	1.015	1.008	1.015	1.015	1.015	1.015	1.015	1.015	1.008	1.015	1.015	1.015	1.015	1.015	1.015	1.008
# N's per 100 kbp	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	58.73	56.18	56.60	56.66	59.56	58.80	64.65	58.40	56.18	57.18	56.51	59.43	58.33	64.73	58.41	56.24	56.56	56.51	58.71	58.89	65.49
# indels per 100 kbp	5.42	5.06	3.60	3.59	14.58	13.45	97.24	5.49	5.15	3.62	3.60	14.27	13.50	96.80	5.48	5.15	3.63	3.62	14.30	13.53	96.71
Largest alignment	1643838	2052185	2052212	2052213	2052073	2052095	2098630	1643840	1643830	1643848	1643848	1643640	1643676	2098268	1643840	1643830	1643848	1643848	1643640	1643676	2098268
Total aligned length	6815933	6815384	6816206	6816281	6815538	6815146	6769483	6815278	6815205	6816537	6816015	6815630	6814680	6768411	6815311	6815315	6816019	6816006	6815067	6815008	6769218
NGA50	1274461	1643838	1643848	1643851	1643660	1643682	1471418	1274471	1274461	1274469	1274471	1274322	1274362	1471391	1274471	1274461	1274469	1274471	1274322	1274362	1471391
NGA75	1070337	1070326	1070328	1070333	1070244	1070262	610213	1070338	1070325	1070332	1070330	1070257	1070255	610115	1070338	1070325	1070332	1070330	1070257	1070255	610115
LGA50	3	2	2	2	2	2	2	3	3	3	3	3	3	2	3	3	3	3	3	3	2
LGA75	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
