All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_1bin_v2_1_MP  r10_1bin_v2_1_MP_helen  r10_1bin_v2_1_r1_medaka  r10_1bin_v2_1_r2_medaka  r10_1bin_v2_1_racon_r1  r10_1bin_v2_1_racon_r2  r10_1bin_v2_1_raw  r10_1bin_v2_2_MP  r10_1bin_v2_2_MP_helen  r10_1bin_v2_2_r1_medaka  r10_1bin_v2_2_r2_medaka  r10_1bin_v2_2_racon_r1  r10_1bin_v2_2_racon_r2  r10_1bin_v2_2_raw  r10_1bin_v2_3_MP  r10_1bin_v2_3_MP_helen  r10_1bin_v2_3_r1_medaka  r10_1bin_v2_3_r2_medaka  r10_1bin_v2_3_racon_r1  r10_1bin_v2_3_racon_r2  r10_1bin_v2_3_raw
LG50                         1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
L75                          5                 5                       5                        5                        5                       5                       5                  5                 5                       5                        5                        5                       5                       5                  5                 5                       5                        5                        5                       5                       5                
LG75                         1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
# misassemblies              74                73                      76                       78                       80                      79                      77                 74                73                      74                       81                       75                      82                      75                 74                75                      74                       79                       74                      80                      78               
# misassembled contigs       1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
Misassembled contigs length  1947358           1945184                 1945421                  1938102                  1934600                 1930264                 1945410            1947367           1945631                 1945233                  1934696                  1934507                 1926766                 1945527            1948617           1947910                 1948308                  1943446                  1939324                 1934869                 1947491          
# local misassemblies        11                15                      23                       26                       47                      32                      33                 11                15                      31                       26                       43                      39                      30                 12                12                      19                       22                       39                      37                      32               
# scaffold gap ext. mis.     0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.     0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# unaligned mis. contigs     6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                
# unaligned contigs          0 + 7 part        0 + 7 part              0 + 7 part               0 + 7 part               0 + 7 part              0 + 7 part              0 + 7 part         0 + 7 part        0 + 7 part              0 + 7 part               0 + 7 part               0 + 7 part              0 + 7 part              0 + 7 part         0 + 7 part        0 + 7 part              0 + 7 part               0 + 7 part               0 + 7 part              0 + 7 part              0 + 7 part       
Unaligned length             22082588          22081257                22083968                 22083903                 22078526                22078691                22110892           22081954          22079236                22085585                 22084165                 22079813                22079475                22107683           22081711          22079681                22083431                 22084583                 22080859                22078889                22113481         
Genome fraction (%)          99.943            99.828                  99.879                   99.938                   99.869                  99.906                  99.860             99.943            99.855                  99.915                   99.931                   99.892                  99.885                  99.859             99.936            99.935                  99.934                   99.874                   99.902                  99.839                  99.867           
Duplication ratio            1.104             1.103                   1.103                    1.098                    1.099                   1.096                   1.081              1.104             1.104                   1.101                    1.096                    1.098                   1.094                   1.083              1.105             1.104                   1.104                    1.101                    1.100                   1.099                   1.081            
# N's per 100 kbp            0.00              0.04                    0.00                     0.00                     0.00                    0.00                    0.00               0.00              0.00                    0.00                     0.00                     0.00                    0.00                    0.00               0.00              0.00                    0.00                     0.00                     0.00                    0.00                    0.00             
# mismatches per 100 kbp     267.75            262.85                  312.96                   283.06                   273.39                  270.35                  361.22             268.47            267.32                  296.38                   283.92                   272.94                  268.35                  367.71             263.50            261.79                  304.30                   295.00                   269.19                  269.86                  366.02           
# indels per 100 kbp         11.92             13.98                   16.19                    13.58                    56.69                   55.39                   350.01             11.86             10.60                   14.03                    11.47                    58.28                   53.13                   353.40             11.53             12.25                   13.86                    14.59                    60.82                   53.59                   350.10           
Largest alignment            177205            177205                  173026                   172971                   172889                  172861                  177003             177204            177203                  173115                   173023                   172987                  172948                  177003             177186            177187                  177181                   177181                   176880                  177039                  176961           
Total aligned length         1986190           1982026                 1982047                  1974362                  1975571                 1971321                 1945749            1986365           1986681                 1980310                  1970711                  1974217                 1967019                 1949881            1987946           1986592                 1985801                  1979191                  1978486                 1974615                 1943668          
NGA50                        89790             87725                   79490                    81625                    68560                   81471                   69730              89793             88233                   89867                    81637                    81586                   81534                   69730              81535             69795                   81506                    81468                    81455                   81441                   69751            
NGA75                        35034             35032                   35043                    35032                    34818                   34964                   34946              35032             35503                   34836                    35031                    34818                   35000                   34945              35502             35503                   35503                    35491                    35479                   35438                   35172            
LGA50                        8                 8                       8                        8                        9                       8                       8                  8                 8                       8                        8                        8                       8                       8                  8                 8                       8                        8                        8                       8                       8                
LGA75                        17                17                      18                       17                       18                      17                      18                 17                16                      17                       17                       17                      17                      18                 17                18                      17                       17                       17                      17                      18               
