Assembly	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part
Unaligned length	19035741	19036395	19037087	19040709	19036842	19041453	19039557	19034814	19038047	19034042	19023312	19035426	19027818	19022248	19028473	19024517	19016007	19027981	23179358	23172242	23173126
Genome fraction (%)	98.918	98.920	98.918	98.920	98.920	98.920	98.920	98.920	98.920	98.920	98.920	98.920	98.920	98.920	98.920	98.920	98.920	98.920	98.896	98.893	98.886
Duplication ratio	1.075	1.074	1.075	1.075	1.075	1.074	1.075	1.075	1.075	1.074	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.074	1.057	1.059	1.059
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	411.43	403.99	407.24	409.99	415.45	409.20	406.61	410.11	409.56	405.50	409.73	409.67	415.19	420.10	415.85	416.79	417.11	412.48	460.72	467.60	468.34
# indels per 100 kbp	15.88	15.56	16.20	21.38	21.68	21.04	11.35	11.55	11.74	11.33	11.48	11.59	36.30	35.17	36.32	34.02	33.27	33.78	224.94	230.39	222.08
Largest alignment	1342442	1342439	1342445	1342514	1342526	1342523	1342474	1342473	1342470	1342473	1342472	1342473	1342280	1342309	1342278	1342298	1342314	1342322	1341458	1341467	1341035
Total aligned length	5034116	5031980	5032709	5032903	5036222	5032704	5032930	5034985	5034485	5029542	5031803	5031548	5033748	5036205	5034488	5034385	5035048	5032238	4951170	4957070	4956698
NGA50	745355	745359	745356	745409	745414	745402	745373	745370	745370	745375	745371	745372	745276	745293	745281	745271	745292	745290	744998	744860	745147
NGA75	611507	611506	611505	611518	611517	611516	611515	611515	611516	611515	611514	611516	611430	611448	611427	611449	611444	611438	433871	433978	407847
LGA50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LGA75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
