Assembly	r10_1bin_v2_1_MP	r10_1bin_v2_1_MP_helen	r10_1bin_v2_1_r1_medaka	r10_1bin_v2_1_r2_medaka	r10_1bin_v2_1_racon_r1	r10_1bin_v2_1_racon_r2	r10_1bin_v2_1_raw	r10_1bin_v2_2_MP	r10_1bin_v2_2_MP_helen	r10_1bin_v2_2_r1_medaka	r10_1bin_v2_2_r2_medaka	r10_1bin_v2_2_racon_r1	r10_1bin_v2_2_racon_r2	r10_1bin_v2_2_raw	r10_1bin_v2_3_MP	r10_1bin_v2_3_MP_helen	r10_1bin_v2_3_r1_medaka	r10_1bin_v2_3_r2_medaka	r10_1bin_v2_3_racon_r1	r10_1bin_v2_3_racon_r2	r10_1bin_v2_3_raw
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part
Unaligned length	19038396	19033833	19034794	19027982	19021662	19019281	23171792	19037719	19032986	19034729	19024798	19023643	19012064	23176396	19040392	19037087	19041070	19034869	19028086	19024205	23175080
Genome fraction (%)	98.918	98.920	98.920	98.920	98.920	98.920	98.886	98.918	98.918	98.920	98.920	98.920	98.920	98.896	98.918	98.918	98.920	98.920	98.920	98.920	98.886
Duplication ratio	1.075	1.075	1.075	1.075	1.075	1.075	1.058	1.075	1.075	1.075	1.075	1.075	1.076	1.057	1.075	1.075	1.074	1.074	1.075	1.075	1.058
# N's per 100 kbp	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	411.02	408.37	410.28	409.37	417.43	415.19	467.00	411.11	409.72	409.77	408.92	412.72	422.24	461.59	408.93	408.57	404.25	406.61	416.47	415.71	466.72
# indels per 100 kbp	20.44	15.39	11.50	11.40	40.12	37.92	220.52	20.76	15.90	11.50	11.37	39.88	38.22	224.89	20.47	16.13	11.29	11.14	40.65	38.45	220.60
Largest alignment	1342515	1342456	1342472	1342474	1342282	1342315	1341035	1342502	1342444	1342470	1342472	1342248	1342303	1341458	1342515	1342456	1342469	1342476	1342260	1342299	1341035
Total aligned length	5034126	5033226	5034861	5031472	5035986	5034340	4955673	5034344	5034398	5034745	5033733	5033814	5038059	4951661	5032811	5032729	5031701	5032382	5034711	5034049	4955540
NGA50	745380	745348	745366	745365	745247	745284	745147	745393	745353	745369	745369	745249	745249	744999	745380	745347	745370	745370	745267	745280	745146
NGA75	611517	611510	611515	611516	611431	611452	407847	611514	611510	611514	611515	611430	611437	433871	611519	611509	611518	611516	611423	611452	407847
LGA50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LGA75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
