All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_2bins_v2_1_MP  r10_2bins_v2_1_MP_helen  r10_2bins_v2_1_r1_medaka  r10_2bins_v2_1_r2_medaka  r10_2bins_v2_1_racon_r1  r10_2bins_v2_1_racon_r2  r10_2bins_v2_1_raw  r10_2bins_v2_2_MP  r10_2bins_v2_2_MP_helen  r10_2bins_v2_2_r1_medaka  r10_2bins_v2_2_r2_medaka  r10_2bins_v2_2_racon_r1  r10_2bins_v2_2_racon_r2  r10_2bins_v2_2_raw  r10_2bins_v2_3_MP  r10_2bins_v2_3_MP_helen  r10_2bins_v2_3_r1_medaka  r10_2bins_v2_3_r2_medaka  r10_2bins_v2_3_racon_r1  r10_2bins_v2_3_racon_r2  r10_2bins_v2_3_raw
Total length                 24074317           24069448                 24072005                  24061370                  24059821                 24053939                 30849678            24074504           24070562                 24072056                  24063280                  24060309                 24055890                 30849158            24074399           24070917                 24071942                  24055585                  24060307                 24051912                 30848199          
Reference length             2958570            2958570                  2958570                   2958570                   2958570                  2958570                  2958570             2958570            2958570                  2958570                   2958570                   2958570                  2958570                  2958570             2958570            2958570                  2958570                   2958570                   2958570                  2958570                  2958570           
GC (%)                       44.80              44.80                    44.80                     44.79                     44.79                    44.79                    49.48               44.80              44.80                    44.80                     44.80                     44.79                    44.79                    49.48               44.80              44.80                    44.80                     44.80                     44.79                    44.78                    49.48             
Reference GC (%)             37.84              37.84                    37.84                     37.84                     37.84                    37.84                    37.84               37.84              37.84                    37.84                     37.84                     37.84                    37.84                    37.84               37.84              37.84                    37.84                     37.84                     37.84                    37.84                    37.84             
N50                          4045600            4045625                  4045591                   4045593                   4045204                  4045287                  4756051             4045597            4045613                  4045604                   4045605                   4045243                  4045295                  4756088             4045597            4045617                  4045586                   4045593                   4045248                  4045340                  4756101           
NG50                         4765357            4765332                  4765357                   4765355                   4764584                  4764687                  6788581             4765355            4765369                  4765398                   4765353                   4764761                  4764686                  6787718             4765363            4765342                  4765361                   4765354                   4764595                  4764670                  6787718           
N75                          2845424            2845372                  2845429                   2845427                   2845272                  2845846                  2990667             2845424            2845368                  2845428                   2845430                   2845282                  2845321                  2990633             2845424            2845363                  2845431                   2845427                   2845312                  2845321                  2990633           
NG75                         4765357            4765332                  4765357                   4765355                   4764584                  4764687                  6788581             4765355            4765369                  4765398                   4765353                   4764761                  4764686                  6787718             4765363            4765342                  4765361                   4765354                   4764595                  4764670                  6787718           
L50                          3                  3                        3                         3                         3                        3                        3                   3                  3                        3                         3                         3                        3                        3                   3                  3                        3                         3                         3                        3                        3                 
LG50                         1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
L75                          5                  5                        5                         5                         5                        5                        5                   5                  5                        5                         5                         5                        5                        5                   5                  5                        5                         5                         5                        5                        5                 
LG75                         1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
# misassemblies              2                  2                        2                         2                         2                        2                        2                   2                  2                        2                         2                         2                        2                        2                   2                  2                        2                         2                         2                        2                        2                 
# misassembled contigs       1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
Misassembled contigs length  2992083            2992068                  2992071                   2992074                   2991898                  2991964                  2990667             2992084            2992066                  2992071                   2992072                   2991914                  2991953                  2990633             2992084            2992066                  2992071                   2992073                   2991916                  2991960                  2990633           
# local misassemblies        7                  7                        7                         7                         7                        7                        14                  7                  7                        7                         7                         7                        7                        14                  7                  7                        7                         7                         7                        7                        12                
# scaffold gap ext. mis.     0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# scaffold gap loc. mis.     0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# unaligned mis. contigs     6                  6                        6                         6                         6                        6                        7                   6                  6                        6                         6                         6                        6                        7                   6                  6                        6                         6                         6                        6                        7                 
# unaligned contigs          0 + 7 part         0 + 7 part               0 + 7 part                0 + 7 part                0 + 7 part               0 + 7 part               0 + 8 part          0 + 7 part         0 + 7 part               0 + 7 part                0 + 7 part                0 + 7 part               0 + 7 part               0 + 8 part          0 + 7 part         0 + 7 part               0 + 7 part                0 + 7 part                0 + 7 part               0 + 7 part               0 + 8 part        
Unaligned length             20956493           20949269                 20951712                  20941228                  20940931                 20934301                 27792879            20957020           20950603                 20951976                  20943224                  20942200                 20936764                 27791702            20956129           20950471                 20952487                  20937770                  20942914                 20933905                 27787244          
Genome fraction (%)          99.984             99.984                   99.984                    99.984                    99.984                   99.984                   99.981              99.984             99.984                   99.984                    99.984                    99.984                   99.984                   99.981              99.984             99.984                   99.984                    99.984                    99.984                   99.984                   99.983            
Duplication ratio            1.054              1.055                    1.055                     1.055                     1.055                    1.055                    1.034               1.054              1.055                    1.055                     1.055                     1.054                    1.055                    1.034               1.054              1.055                    1.055                     1.054                     1.054                    1.054                    1.035             
# N's per 100 kbp            0.00               0.04                     0.00                      0.00                      0.00                     0.00                     0.00                0.00               0.00                     0.00                      0.00                      0.00                     0.00                     0.00                0.00               0.00                     0.00                      0.00                      0.00                     0.00                     0.00              
# mismatches per 100 kbp     229.09             235.48                   234.50                    233.59                    230.58                   233.76                   143.34              228.41             235.38                   234.50                    233.52                    226.69                   231.15                   144.12              230.75             236.66                   231.22                    225.78                    224.36                   228.58                   149.66            
# indels per 100 kbp         21.91              22.32                    22.32                     22.11                     31.82                    30.33                    116.70              21.34              21.71                    22.42                     22.32                     31.51                    30.37                    116.43              22.18              22.45                    22.28                     21.64                     31.01                    30.13                    115.78            
Largest alignment            1569036            1569031                  1569033                   1569033                   1568933                  1568978                  1568362             1569037            1569030                  1569033                   1569032                   1568965                  1568980                  1568349             1569037            1569030                  1569033                   1569033                   1568965                  1568971                  1568349           
Total aligned length         3117350            3119695                  3119819                   3119668                   3118416                  3119164                  3056409             3117010            3119485                  3119606                   3119582                   3117635                  3118652                  3057073             3117796            3119972                  3118981                   3117341                   3116919                  3117533                  3060517           
NGA50                        1569036            1569031                  1569033                   1569033                   1568933                  1568978                  1568362             1569037            1569030                  1569033                   1569032                   1568965                  1568980                  1568349             1569037            1569030                  1569033                   1569033                   1568965                  1568971                  1568349           
NGA75                        1410523            1410494                  1410514                   1410517                   1410442                  1410462                  1409724             1410523            1410493                  1410514                   1410516                   1410426                  1410450                  1409725             1410523            1410493                  1410514                   1410516                   1410428                  1410466                  1409713           
LGA50                        1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
LGA75                        2                  2                        2                         2                         2                        2                        2                   2                  2                        2                         2                         2                        2                        2                   2                  2                        2                         2                         2                        2                        2                 
