All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_8bins_1_MP  r10_8bins_1_MP_helen  r10_8bins_1_r1_medaka  r10_8bins_1_r2_medaka  r10_8bins_1_racon_r1  r10_8bins_1_racon_r2  r10_8bins_1_raw  r10_8bins_2_MP  r10_8bins_2_MP_helen  r10_8bins_2_r1_medaka  r10_8bins_2_r2_medaka  r10_8bins_2_racon_r1  r10_8bins_2_racon_r2  r10_8bins_2_raw  r10_8bins_3_MP  r10_8bins_3_MP_helen  r10_8bins_3_r1_medaka  r10_8bins_3_r2_medaka  r10_8bins_3_racon_r1  r10_8bins_3_racon_r2  r10_8bins_3_raw
# misassembled contigs       1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length  2719941         2718121               2719506                2719603                2720301               2720317               2718868          2719784         2717999               2719522                2719572                2720345               2720410               2718437          2719778         2718019               2719548                2719556                2720274               2720341               2718429        
# local misassemblies        9               10                    10                     10                     9                     10                    19               9               9                     9                      9                      9                     9                     19               9               10                    9                      9                      10                    10                    20             
# scaffold gap ext. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# unaligned mis. contigs     6               6                     6                      6                      6                     6                     5                6               6                     6                      6                      6                     6                     5                6               6                     6                      6                      6                     6                     5              
# unaligned contigs          0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part     
Unaligned length             21276230        21273903              21274145               21266469               21266438              21255182              21321559         21274894        21271384              21273185               21262585               21264875              21254555              21318447         21276104        21272622              21273511               21266251               21263756              21256890              21323181       
Genome fraction (%)          99.537          99.537                99.537                 99.537                 99.537                99.537                99.535           99.537          99.537                99.537                 99.537                 99.537                99.537                99.538           99.546          99.546                99.546                 99.546                 99.546                99.546                99.538         
Duplication ratio            1.045           1.045                 1.045                  1.045                  1.044                 1.046                 1.024            1.046           1.045                 1.046                  1.046                  1.045                 1.046                 1.024            1.045           1.045                 1.045                  1.045                  1.045                 1.046                 1.023          
# N's per 100 kbp            0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00           
# mismatches per 100 kbp     282.21          250.98                283.96                 282.17                 276.72                293.83                252.85           287.25          256.62                286.65                 291.77                 284.41                302.42                250.71           281.51          250.80                284.16                 283.90                 283.75                294.77                239.24         
# indels per 100 kbp         110.62          40.72                 75.69                  75.54                  108.08                109.65                165.84           111.74          42.59                 75.39                  75.91                  110.32                110.02                159.30           110.46          41.43                 75.91                  74.52                  108.26                108.41                158.06         
Largest alignment            948830          948257                948756                 948808                 948910                949051                948393           948731          948068                948643                 948667                 948937                948964                948372           948926          948399                948848                 948865                 949260                949283                1350628        
Total aligned length         2796602         2794907               2796099                2795973                2792836               2796941               2738106          2797815         2796036               2796826                2797747                2794242               2798361               2740114          2796643         2794884               2796555                2796429                2794386               2796952               2735856        
NGA50                        480570          480279                480469                 480494                 480596                480583                480378           480577          480279                480494                 480488                 480641                480625                480398           480559          480279                480498                 480485                 480584                480602                1350628        
NGA75                        381494          381244                381433                 381442                 381535                381561                381350           381479          381236                381407                 381433                 381498                381584                381299           381478          381237                381420                 381419                 381541                381538                381299         
LGA50                        2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     1              
LGA75                        4               4                     4                      4                      4                     4                     4                4               4                     4                      4                      4                     4                     4                4               4                     4                      4                      4                     4                     3              
